tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,axis6_pos_abs_mm,axis7_pos_abs_mm,ain0_raw_v,ain1_raw_v
831765,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831765,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831781,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831781,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.365000
831781,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831781,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831781,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831781,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831796,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831796,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.365000
831796,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831796,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831796,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831796,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831812,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831812,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831812,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831812,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831812,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831812,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831828,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831828,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831828,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831828,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831828,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831828,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831843,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831843,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831843,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831843,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
831843,-0.0275,0.0000,0.0000,0.0000,-0.759000,-0.366000
