tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
198784046,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784078,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784109,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784156,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784187,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784234,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784281,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784312,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784359,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784390,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784421,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784453,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784500,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784546,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784593,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784625,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784656,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784703,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784765,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784796,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784828,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784875,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784906,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198784953,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785000,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785031,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785078,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785109,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785156,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785187,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785234,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785265,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785312,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785359,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785406,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785437,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785484,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785515,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785578,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785609,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785656,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785687,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785734,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785765,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785812,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785843,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785890,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785921,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198785968,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786015,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786046,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786093,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786125,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786171,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786203,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786250,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786296,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786343,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786406,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786453,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786500,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786546,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786593,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786640,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786687,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786734,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786781,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786828,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786890,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786937,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198786984,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787031,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787078,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787125,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787171,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787218,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787265,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787296,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787375,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787406,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787453,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787515,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787562,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787609,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
198787656,-85.6792,2941.3881,0.000000,0.000000,0.000000,0.000000
