tick_ms,session_id,guidewire_mode,axis1_phase,axis6_phase,cyl1_cmd,cyl2_cmd,cyl3_cmd,cyl4_cmd,compensation_enabled,force_sample_valid,calibration_zeroed,freeze_active,plc_hold_active,ads_return_fault,spacing_recovery_active,force_transition_active,manual_cylinder_override,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,calibrated_force_n,calibrated_torque_nm,logger_dropped,axis1_segment_active,axis1_grip_assumed,axis1_invalid_reason,axis1_segment_id,axis1_handle_raw,axis1_handle_filtered,axis1_raw_mapping_increment_axis_mm,axis1_nominal_forward_increment_mm,axis1_compensated_requested_forward_increment_mm,axis1_effective_forward_increment_mm,axis1_compensation_gain,axis1_p_term,axis1_i_term,axis1_integral_limited,axis1_refer_rel_mm,axis1_actual_rel_mm,axis1_actual_forward_delta_mm,axis1_segment_master_forward_mm,axis1_segment_actual_forward_mm,axis1_session_master_forward_mm,axis1_session_actual_forward_mm,axis1_tracking_error_mm,axis6_segment_active,axis6_grip_assumed,axis6_invalid_reason,axis6_segment_id,axis6_handle_raw,axis6_handle_filtered,axis6_raw_mapping_increment_axis_mm,axis6_nominal_forward_increment_mm,axis6_compensated_requested_forward_increment_mm,axis6_effective_forward_increment_mm,axis6_compensation_gain,axis6_p_term,axis6_i_term,axis6_integral_limited,axis6_refer_rel_mm,axis6_actual_rel_mm,axis6_actual_forward_delta_mm,axis6_segment_master_forward_mm,axis6_segment_actual_forward_mm,axis6_session_master_forward_mm,axis6_session_actual_forward_mm,axis6_tracking_error_mm
112315468,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,12,0,0.01256113,0.01253516,-0.00649462,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112315546,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,12,0,0.01257539,0.01255009,-0.00632656,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112315640,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01257539,0.01256116,-0.00355869,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112315718,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01258965,0.01257270,-0.00423872,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112315812,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01258965,0.01258011,-0.00238428,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112315906,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01260391,0.01259052,-0.00334616,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112315984,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01261817,0.01259994,-0.00455541,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112316062,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01261817,0.01260792,-0.00256253,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112316140,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01263242,0.01261596,-0.00411476,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
112316250,1,0,0,0,400,600,400,500,0,1,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,1,1,0,1,0.01263242,0.01262317,-0.00231455,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-77.99996274,-77.99989218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,2,0,-0.05272540,-0.05272540,-0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0,-166.44590493,-166.44590493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
