sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
0,57643,1,0,0,0,NaN,NaN,NaN,NaN
1,113212,1,0,0,0,NaN,NaN,NaN,NaN
2,182875,1,0,0,0,NaN,NaN,NaN,NaN
3,232941,1,0,0,0,NaN,NaN,NaN,NaN
4,283529,1,0,0,0,NaN,NaN,NaN,NaN
5,335862,1,0,0,0,NaN,NaN,NaN,NaN
6,384633,1,0,0,0,NaN,NaN,NaN,NaN
7,436416,1,0,0,0,NaN,NaN,NaN,NaN
8,482570,1,0,0,0,NaN,NaN,NaN,NaN
9,531729,1,0,0,0,NaN,NaN,NaN,NaN
10,580111,1,0,0,0,NaN,NaN,NaN,NaN
11,630507,1,0,0,0,NaN,NaN,NaN,NaN
12,688761,1,0,0,0,NaN,NaN,NaN,NaN
13,736128,1,0,0,0,NaN,NaN,NaN,NaN
14,791528,1,0,0,0,NaN,NaN,NaN,NaN
15,841402,1,0,0,0,NaN,NaN,NaN,NaN
16,890543,1,0,0,0,NaN,NaN,NaN,NaN
17,939627,1,0,0,0,NaN,NaN,NaN,NaN
18,988887,1,0,0,0,NaN,NaN,NaN,NaN
19,1038588,1,0,0,0,NaN,NaN,NaN,NaN
20,1085274,1,0,0,0,NaN,NaN,NaN,NaN
21,1133718,1,0,0,0,NaN,NaN,NaN,NaN
22,1208446,1,0,0,0,NaN,NaN,NaN,NaN
23,1259177,1,0,0,0,NaN,NaN,NaN,NaN
24,1307762,1,0,0,0,NaN,NaN,NaN,NaN
25,1358404,1,0,0,0,NaN,NaN,NaN,NaN
26,1409285,1,0,0,0,NaN,NaN,NaN,NaN
27,1459755,1,0,0,0,NaN,NaN,NaN,NaN
28,1510014,1,0,0,0,NaN,NaN,NaN,NaN
29,1564850,1,0,0,0,NaN,NaN,NaN,NaN
30,1615508,1,0,0,0,NaN,NaN,NaN,NaN
31,1652693,1,0,0,0,NaN,NaN,NaN,NaN
32,1697114,1,0,0,0,NaN,NaN,NaN,NaN
33,1735602,1,0,0,0,NaN,NaN,NaN,NaN
34,1775387,1,0,0,0,NaN,NaN,NaN,NaN
35,1815352,1,0,0,0,NaN,NaN,NaN,NaN
36,1859113,1,0,0,0,NaN,NaN,NaN,NaN
37,1900499,1,0,0,0,NaN,NaN,NaN,NaN
38,1938245,1,0,0,0,NaN,NaN,NaN,NaN
39,1976139,1,0,0,0,NaN,NaN,NaN,NaN
40,2010723,1,0,0,0,NaN,NaN,NaN,NaN
41,2051984,1,0,0,0,NaN,NaN,NaN,NaN
42,2104703,1,0,0,0,NaN,NaN,NaN,NaN
43,2141534,1,0,0,0,NaN,NaN,NaN,NaN
44,2176922,1,0,0,0,NaN,NaN,NaN,NaN
45,2213630,1,0,0,0,NaN,NaN,NaN,NaN
46,2248481,1,0,0,0,NaN,NaN,NaN,NaN
47,2292117,1,0,0,0,NaN,NaN,NaN,NaN
48,2330326,1,0,0,0,NaN,NaN,NaN,NaN
49,2365728,1,0,0,0,NaN,NaN,NaN,NaN
50,2399334,1,0,0,0,NaN,NaN,NaN,NaN
51,2434575,1,0,0,0,NaN,NaN,NaN,NaN
52,2473177,1,0,0,0,NaN,NaN,NaN,NaN
53,2505519,1,0,0,0,NaN,NaN,NaN,NaN
54,2543323,1,0,0,0,NaN,NaN,NaN,NaN
55,2579539,1,0,0,0,NaN,NaN,NaN,NaN
56,2615350,1,0,0,0,NaN,NaN,NaN,NaN
57,2650238,1,0,0,0,NaN,NaN,NaN,NaN
58,2684252,1,0,0,0,NaN,NaN,NaN,NaN
59,2720799,1,0,0,0,NaN,NaN,NaN,NaN
60,2759197,1,0,0,0,NaN,NaN,NaN,NaN
61,2793902,1,0,0,0,NaN,NaN,NaN,NaN
62,2841651,1,0,0,0,NaN,NaN,NaN,NaN
63,2879148,1,0,0,0,NaN,NaN,NaN,NaN
64,2914615,1,0,0,0,NaN,NaN,NaN,NaN
65,2948740,1,0,0,0,NaN,NaN,NaN,NaN
66,2979741,1,0,0,0,NaN,NaN,NaN,NaN
