sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,7557,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08315746507,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
1,68799,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08315955684,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
2,125920,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316112567,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
3,186374,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316230229,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
4,236388,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316318476,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
5,287473,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316384661,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
6,339766,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316434299,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
7,392517,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316471528,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
8,439871,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.0831649945,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
9,486025,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08316583215,0.08316520391,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
10,534976,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08317997788,0.08316889741,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
11,584129,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317169555,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
12,642271,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317379415,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
13,692783,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317536811,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
14,740397,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317654857,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
15,794748,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317743392,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
16,844867,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317809793,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
17,898228,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317859594,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
18,942569,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317896945,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
19,993622,1,10.9731259,-0.1494653208,625.9976633,0,625.9990591,635.1267358,0.001815922004,1,0.08318008997,0.08317924958,2.658921381,2.658921381,1,0.00742832137,0.00742832137,1.221782586,1.221782586
