frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,382524810333,1186043,1,0
1,382525118222,1201980,1,0
2,382532205777,1217469,1,0
3,382532534444,1244502,1,0
4,382532879666,1282672,1,0
5,382533206333,1347680,1,0
6,382533539666,1394712,1,0
7,382534205444,1411999,1,0
8,382534530888,1425140,1,0
9,382534879444,1439282,1,0
10,382535202111,1453167,1,0
11,382535538888,1466648,1,0
12,382535872888,1481142,1,0
13,382536207888,1496532,1,0
14,382536550444,1510921,1,0
15,382536892444,1535724,1,0
16,382537204444,1569627,1,0
17,382537539000,1603699,1,0
18,382537886888,1636135,1,0
19,382538213444,1670455,1,0
20,382538548222,1703247,1,0
21,382538881444,1736434,1,0
22,382539212444,1771396,1,0
23,382539561000,1801805,1,0
24,382539873888,1835576,1,0
25,382540209555,1869944,1,0
26,382540570000,1904130,1,0
27,382540881444,1937141,1,0
28,382541219888,1968351,1,0
29,382541548666,2001286,1,0
30,382541880888,2034824,1,0
31,382542209444,2068352,1,0
32,382542558222,2100690,1,0
33,382542878666,2136604,1,0
34,382543217111,2170320,1,0
35,382543566555,2202317,1,0
36,382543879000,2235925,1,0
37,382544218888,2272187,1,0
38,382544583888,2300304,1,0
39,382544877888,2333170,1,0
40,382545216888,2369788,1,0
41,382545567777,2401015,1,0
42,382545888333,2434474,1,0
43,382546218111,2470745,1,0
44,382546580333,2499744,1,0
45,382546884555,2533551,1,0
46,382547226555,2567962,1,0
47,382547570333,2599193,1,0
48,382547880777,2638351,1,0
49,382548262111,2667280,1,0
50,382548556666,2700844,1,0
51,382548881444,2736134,1,0
52,382549228000,2768024,1,0
53,382549568666,2800128,1,0
54,382549888333,2833186,1,0
55,382550219000,2868138,1,0
56,382550566555,2900247,1,0
57,382550885444,2933933,1,0
58,382551225444,2967051,1,0
59,382551554666,3000301,1,0
60,382551894555,3032574,1,0
61,382552214555,3067769,1,0
62,382552562000,3103511,1,0
63,382552915555,3133592,1,0
64,382553228111,3167425,1,0
65,382553565777,3202225,1,0
66,382553908111,3234808,1,0
67,382554240999,3268998,1,0
68,382554579666,3302689,1,0
69,382554909000,3335380,1,0
70,382555242666,3370060,1,0
71,382555578666,3401581,1,0
72,382555913000,3436124,1,0
73,382556250222,3469735,1,0
74,382556582000,3503643,1,0
75,382556904333,3537298,1,0
76,382557245333,3570558,1,0
77,382557569555,3608353,1,0
78,382557969222,3635488,1,0
79,382558240888,3668966,1,0
80,382558563888,3701915,1,0
81,382558900888,3735697,1,0
82,382559229000,3770111,1,0
83,382559568555,3805271,1,0
84,382559901111,3840282,1,0
85,382560248333,3874031,1,0
86,382560603000,3906320,1,0
87,382560921444,3940028,1,0
88,382561250222,3972575,1,0
89,382561588000,4006565,1,0
90,382561922888,4043253,1,0
91,382562277333,4073708,1,0
92,382562587555,4106325,1,0
93,382562917000,4139916,1,0
94,382563247222,4173410,1,0
95,382563580444,4206433,1,0
96,382563917555,4238781,1,0
97,382564248888,4268603,1,0
98,382564568111,4304558,1,0
99,382564920111,4335873,1,0
100,382565243000,4369177,1,0
101,382565579777,4402341,1,0
102,382565900777,4435672,1,0
103,382566236444,4469720,1,0
104,382566566000,4503328,1,0
105,382566905444,4538739,1,0
106,382567259222,4569534,1,0
107,382567574333,4605552,1,0
108,382567909666,4637713,1,0
109,382568259555,4672802,1,0
110,382568587888,4703674,1,0
111,382568917666,4736757,1,0
112,382569252000,4772189,1,0
113,382569594666,4804051,1,0
114,382569914777,4836040,1,0
115,382570256111,4869242,1,0
116,382570584111,4903880,1,0
117,382570927888,4937319,1,0
118,382571263000,4970683,1,0
119,382571596777,5003255,1,0
120,382571921666,5035515,1,0
121,382572252000,5069701,1,0
122,382572593888,5105370,1,0
123,382572924777,5138357,1,0
124,382573278111,5170909,1,0
125,382573603000,5205930,1,0
126,382573947222,5236336,1,0
127,382574253000,5270000,1,0
128,382574596555,5308006,1,0
129,382574967888,5336574,1,0
130,382575259000,5369729,1,0
131,382575597333,5405405,1,0
132,382575951444,5436232,1,0
133,382576254777,5468688,1,0
134,382576581444,5504585,1,0
135,382576939666,5536362,1,0
136,382577256666,5569601,1,0
137,382577585555,5603657,1,0
138,382577924888,5637405,1,0
139,382578259000,5671540,1,0
140,382578597111,5706034,1,0
141,382578925666,5736732,1,0
142,382579258222,5770754,1,0
