sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
0,2290,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
1,14248,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
2,21703,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
3,32439,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
4,42372,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
5,52294,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
6,62488,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
7,75365,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
8,82183,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
9,92134,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
10,103487,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
11,112434,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
12,123149,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
13,132366,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
14,142257,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
15,152332,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
16,162297,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
17,180314,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
18,188214,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
19,195498,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
20,203205,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
21,212446,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
22,224435,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
23,232345,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
24,242560,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
25,252691,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
26,262332,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
27,275066,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
28,282273,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
29,292821,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
30,303536,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
31,312200,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
32,322422,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
33,332312,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
34,342507,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
35,352428,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
36,362802,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
37,374596,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
38,382394,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
39,392264,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
40,402348,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
41,412347,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
42,422490,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
43,432346,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
44,442407,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
45,452234,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
46,462311,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
47,475339,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
48,482096,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
49,491902,1,0,-1.027,-0.102,NaN,NaN,NaN,NaN
50,502290,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
51,512453,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
52,522342,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
53,532388,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
54,542325,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
55,552299,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
56,562434,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
57,575526,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
58,584316,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
59,592274,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
60,602425,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
61,612380,1,0,-1.026,-0.102,NaN,NaN,NaN,NaN
62,622476,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
63,632425,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
64,642777,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
65,652373,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
66,661711,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
67,675428,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
68,681905,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
69,692561,1,0,-1.025,-0.102,NaN,NaN,NaN,NaN
70,702226,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
71,712322,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
72,722450,1,0,-1.025,-0.101,NaN,NaN,NaN,NaN
73,732243,1,0,-1.026,-0.101,NaN,NaN,NaN,NaN
