sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
0,3716,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
1,14652,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
2,24629,1,1,-1.664,-1.679,-1.661,-1.678,-0.001843311624,-2.111049752e-06
3,34189,1,1,-1.664,-1.679,-1.661,-1.678,-0.001843311624,-2.111049752e-06
4,45598,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
5,54529,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
6,63892,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
7,73833,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
8,83887,1,1,-1.664,-1.678,-1.661,-1.678,-0.001843311624,0
9,94898,1,1,-1.664,-1.678,-1.661,-1.678,-0.001843311624,0
10,104942,1,1,-1.664,-1.678,-1.661,-1.678,-0.001843311624,0
11,114070,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
12,129034,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
13,134133,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
14,145875,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
15,154114,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
16,163703,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
17,173190,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
18,193476,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
19,199070,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
20,205446,1,1,-1.664,-1.678,-1.661,-1.678,-0.001843311624,0
21,213832,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
22,223420,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
23,233739,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
24,247006,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
25,254165,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
26,263245,1,1,-1.663,-1.679,-1.661,-1.678,-0.001228874416,-2.111049752e-06
27,273443,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
28,283161,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
29,295157,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
30,304093,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
31,313251,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
32,324399,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
33,333221,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
34,346946,1,1,-1.662,-1.678,-1.661,-1.678,-0.0006144372081,0
35,355955,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
36,363888,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
37,374218,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
38,383711,1,1,-1.663,-1.678,-1.661,-1.678,-0.001228874416,0
39,395793,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
40,403794,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
41,414798,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
42,424156,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
43,433521,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
44,445668,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
45,454297,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
46,463284,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
47,473790,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
48,483156,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
49,494032,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
50,504055,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
51,513892,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
52,523916,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
53,534183,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
54,546607,1,1,-1.662,-1.677,-1.661,-1.678,-0.0006144372081,2.111049752e-06
55,555734,1,1,-1.663,-1.677,-1.661,-1.678,-0.001228874416,2.111049752e-06
