sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,3716,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
1,24629,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
2,45598,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
3,63892,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
4,83887,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
5,104942,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
6,129034,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
7,145875,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
8,163703,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008968165339,0.008968165339,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
9,193476,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423037,0.008971729764,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
10,205446,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423152,0.008974403111,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
11,223420,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008979039698,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
12,247006,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.00898051996,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
13,263245,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008981352607,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
14,283161,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008981820972,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
15,304093,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982084426,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
16,324399,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.00898223262,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
17,346946,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982315978,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
18,363888,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982362868,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
19,383711,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982389243,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
20,403794,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982404079,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
21,424156,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982412424,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
22,445668,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982417119,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
23,463284,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982419759,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
24,483156,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982421244,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
25,504055,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.00898242208,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
26,523916,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.00898242255,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
27,546607,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982422814,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
28,564070,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982422899,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
29,583761,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982423046,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
30,603715,1,19.99983715,0.4183751501,649.0004073,0,648.999942,649.9999804,-0.02042912255,1,0.008982423154,0.008982423093,-0.793682807,-0.793682807,1,-0.006316211837,-0.006316211837,4.256924173,4.256924173
