frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,1621221626000,1232635,1,0
1,1621222005444,1248274,1,0
2,1621226119444,1264895,1,0
3,1621226424555,1285102,1,0
4,1621226769777,1300693,1,0
5,1621227109222,1316667,1,0
6,1621227441777,1335118,1,0
7,1621227766000,1349866,1,0
8,1621228096111,1370925,1,0
9,1621228427000,1390597,1,0
10,1621228782777,1414168,1,0
11,1621229097333,1428348,1,0
12,1621229429222,1461290,1,0
13,1621229789222,1492567,1,0
14,1621230105333,1524155,1,0
15,1621230441666,1559943,1,0
16,1621230779222,1590989,1,0
17,1621231096444,1624903,1,0
18,1621231432777,1659156,1,0
19,1621231794222,1690880,1,0
20,1621232096777,1724255,1,0
21,1621232429999,1756485,1,0
22,1621232774222,1789370,1,0
23,1621233104222,1825386,1,0
24,1621233453888,1857606,1,0
25,1621233772222,1892520,1,0
26,1621234111888,1927492,1,0
27,1621234471111,1958541,1,0
28,1621234776111,1991660,1,0
29,1621235113777,2032036,1,0
30,1621235528000,2058681,1,0
31,1621235786888,2089908,1,0
32,1621236101666,2125205,1,0
33,1621236458666,2156780,1,0
34,1621236778000,2191201,1,0
35,1621237112777,2224819,1,0
36,1621237454888,2257614,1,0
37,1621237776888,2291617,1,0
38,1621238104777,2325399,1,0
39,1621238442777,2358965,1,0
40,1621238774333,2392981,1,0
41,1621239117000,2427877,1,0
42,1621239456777,2458332,1,0
43,1621239778333,2491334,1,0
44,1621240109666,2523989,1,0
45,1621240436666,2558460,1,0
46,1621240775333,2593684,1,0
47,1621241121000,2626633,1,0
48,1621241452555,2661138,1,0
49,1621241797222,2694960,1,0
50,1621242119222,2728851,1,0
51,1621242442333,2760845,1,0
52,1621242784222,2793300,1,0
53,1621243113222,2827805,1,0
54,1621243452444,2860064,1,0
55,1621243788555,2896026,1,0
56,1621244119777,2925675,1,0
57,1621244444222,2959430,1,0
58,1621244784222,2992189,1,0
59,1621245119000,3025177,1,0
60,1621245452888,3058902,1,0
61,1621245785222,3092618,1,0
62,1621246118333,3127383,1,0
63,1621246453222,3158724,1,0
64,1621246786222,3192413,1,0
65,1621247122888,3224978,1,0
66,1621247452777,3260056,1,0
67,1621247806666,3294359,1,0
68,1621248131000,3327148,1,0
69,1621248460777,3362744,1,0
70,1621248807222,3392904,1,0
71,1621249120555,3427221,1,0
72,1621249464222,3458975,1,0
73,1621249790555,3494870,1,0
74,1621250151666,3527033,1,0
75,1621250460000,3559363,1,0
76,1621250785000,3594050,1,0
77,1621251119444,3627408,1,0
78,1621251454666,3659910,1,0
79,1621251791777,3692840,1,0
80,1621252130222,3728455,1,0
81,1621252459444,3761297,1,0
82,1621252795222,3794350,1,0
83,1621253127444,3829528,1,0
84,1621253471111,3861989,1,0
85,1621253805444,3895274,1,0
86,1621254140666,3927197,1,0
87,1621254461666,3961090,1,0
88,1621254798555,3994236,1,0
89,1621255125999,4029971,1,0
90,1621255482444,4059914,1,0
91,1621255795777,4091105,1,0
92,1621256120000,4126034,1,0
93,1621256463444,4159436,1,0
94,1621256801333,4192449,1,0
95,1621257133555,4227035,1,0
96,1621257467888,4259417,1,0
97,1621257797333,4295650,1,0
98,1621258153222,4327094,1,0
99,1621258465333,4360620,1,0
100,1621258803000,4393264,1,0
101,1621259140555,4426084,1,0
102,1621259465000,4462701,1,0
103,1621259802444,4493133,1,0
104,1621260136777,4526724,1,0
105,1621260460777,4561053,1,0
106,1621260808000,4594974,1,0
107,1621261141111,4627292,1,0
108,1621261474222,4662074,1,0
109,1621261824444,4697266,1,0
110,1621262151777,4725716,1,0
111,1621262461666,4762423,1,0
112,1621262815777,4795118,1,0
113,1621263143444,4827599,1,0
114,1621263470666,4860629,1,0
115,1621263797000,4894603,1,0
116,1621264143333,4928158,1,0
117,1621264482888,4959944,1,0
118,1621264805000,4993862,1,0
119,1621265139222,5028184,1,0
120,1621265479333,5060520,1,0
121,1621265812222,5093307,1,0
122,1621266139555,5128292,1,0
123,1621266477888,5160191,1,0
124,1621266808111,5193870,1,0
125,1621267142111,5229389,1,0
126,1621267481666,5260011,1,0
127,1621267801666,5294155,1,0
128,1621268144111,5326969,1,0
129,1621268473666,5360749,1,0
130,1621268812777,5393779,1,0
131,1621269137444,5426993,1,0
132,1621269472777,5461616,1,0
133,1621269813000,5494394,1,0
134,1621270150111,5527066,1,0
135,1621270474333,5560729,1,0
136,1621270810333,5597141,1,0
137,1621271148111,5629074,1,0
138,1621271482333,5661281,1,0
139,1621271818000,5697250,1,0
140,1621272164222,5727116,1,0
141,1621272478555,5762212,1,0
142,1621272809555,5797945,1,0
143,1621273167222,5830795,1,0
144,1621273489555,5862336,1,0
145,1621273806777,5896369,1,0
146,1621274152777,5927608,1,0
147,1621274481222,5962909,1,0
148,1621274826777,5995388,1,0
149,1621275150666,6027523,1,0
150,1621275485333,6061858,1,0
151,1621275818666,6094778,1,0
152,1621276142444,6127812,1,0
153,1621276481555,6161760,1,0
154,1621276819777,6195003,1,0
155,1621277151222,6229715,1,0
156,1621277500222,6262836,1,0
157,1621277821888,6294615,1,0
158,1621278145777,6329146,1,0
159,1621278493000,6362488,1,0
160,1621278822222,6395554,1,0
161,1621279153555,6429536,1,0
162,1621279499111,6463951,1,0
163,1621279824000,6497112,1,0
164,1621280151888,6532428,1,0
165,1621280501888,6562259,1,0
166,1621280824444,6594614,1,0
167,1621281148000,6629946,1,0
168,1621281483555,6664597,1,0
169,1621281824444,6696809,1,0
170,1621282153999,6730114,1,0
171,1621282486777,6763928,1,0
172,1621282820444,6795153,1,0
173,1621283150555,6831095,1,0
174,1621283495555,6862947,1,0
