sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
0,2271,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
1,14301,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
2,21865,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
3,34611,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
4,44704,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
5,52812,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
6,62048,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
7,72270,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
8,82241,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
9,92323,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
10,102204,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
11,113383,1,1,-0.175,-1.401,-0.159,-1.403,-0.00983099533,4.222099503e-06
12,122826,1,1,-0.175,-1.401,-0.159,-1.403,-0.00983099533,4.222099503e-06
13,134964,1,1,-0.175,-1.401,-0.159,-1.403,-0.00983099533,4.222099503e-06
14,141671,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
15,152333,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
16,162395,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
17,172486,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
18,182903,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
19,192478,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
20,203070,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
21,212343,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
22,221871,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
23,236514,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
24,242283,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
25,252535,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
26,263251,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
27,271576,1,1,-0.176,-1.402,-0.159,-1.403,-0.01044543254,2.111049752e-06
28,282298,1,1,-0.176,-1.402,-0.159,-1.403,-0.01044543254,2.111049752e-06
29,293550,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
30,302776,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
31,312536,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
32,321555,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
33,333367,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
34,342512,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
35,352284,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
36,362529,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
37,372314,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
38,382445,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
39,392745,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
40,402301,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
41,412069,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
42,422349,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
43,434988,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
44,442130,1,1,-0.175,-1.4,-0.159,-1.403,-0.00983099533,6.333149255e-06
45,452727,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
46,462977,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
47,473578,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
48,483068,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
49,492461,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
50,503247,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
51,512099,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
52,522372,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
53,535933,1,1,-0.176,-1.402,-0.159,-1.403,-0.01044543254,2.111049752e-06
54,546189,1,1,-0.176,-1.402,-0.159,-1.403,-0.01044543254,2.111049752e-06
55,553385,1,1,-0.176,-1.402,-0.159,-1.403,-0.01044543254,2.111049752e-06
56,562219,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
57,572446,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
58,581559,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
59,591681,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
60,602146,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
61,612302,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
62,622320,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
63,633219,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
64,642442,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
65,652506,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
66,662795,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
67,671864,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
68,682138,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
69,692498,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
