sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
0,7485,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
1,17170,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
2,27465,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
3,37576,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
4,48453,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
5,60828,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
6,66422,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
7,77125,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
8,87769,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
9,98980,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
10,107319,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
11,117478,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
12,127273,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
13,138897,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
14,147409,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
15,160394,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
16,170240,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
17,177207,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
18,187882,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
19,197176,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
20,207464,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
21,217123,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
22,227325,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
23,237839,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
24,247191,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
25,260289,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
26,267527,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
27,278264,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
28,288164,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
29,296496,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
30,307046,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
31,317797,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
32,327532,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
33,337268,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
34,347762,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
35,359393,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
36,367375,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
37,377187,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
38,386783,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
39,397351,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
