sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,17170,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02272695636,0.02272701709,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
1,37576,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02272695636,0.02272700191,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
2,60828,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271896856,0.02272497863,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
3,77125,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271962268,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
4,98980,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271659337,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
5,117478,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271488939,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
6,138897,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271393089,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
7,160394,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271339174,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
8,177207,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271321844,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
9,197176,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271299099,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
10,217123,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271282192,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
11,237839,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271279108,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
12,260289,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02271269855,0.02271273758,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
13,278264,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844092,0.02270676683,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
14,296496,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02270312416,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
15,317797,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02270107516,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
16,337268,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02270041656,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
17,359393,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269927428,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
18,377187,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.0226989096,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
19,397351,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269870447,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
20,417352,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269858909,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
21,439044,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269852418,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
22,460234,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269848767,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
23,477508,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269846714,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
24,496851,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269846053,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
25,517211,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02269844073,0.02269844909,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
26,536396,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268427138,0.02269490309,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
27,558828,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02269021302,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
28,576472,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268757485,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
29,597012,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268672687,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
30,617375,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268525615,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
31,637134,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268478661,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
32,661482,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268452249,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
33,677300,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.0226844376,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
34,697022,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268432618,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
35,717132,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02268418292,0.02268424335,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
36,737470,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02266992511,0.02267815606,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
37,758396,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267455502,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
38,776508,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267252943,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
39,798084,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267139004,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
40,816960,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267074913,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
41,837403,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267038862,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
42,860670,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267018583,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
43,877353,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02267007176,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
44,896994,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.0226700076,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
45,917790,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02266997151,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
46,938722,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02266995121,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
47,962118,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.0226699251,0.02266993979,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
48,977061,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265573711,0.02266638912,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
49,996861,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02266019059,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
50,1016986,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265821164,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
51,1037597,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265757555,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
52,1060081,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265647234,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
53,1077147,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265627108,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
54,1097559,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265592201,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
55,1117277,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265585833,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
56,1137754,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265574788,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
57,1159486,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265571262,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
58,1177329,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02265566729,0.02265570129,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
59,1197742,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264141046,0.02265133634,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
60,1217528,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264699334,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
61,1237095,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264376517,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
62,1258141,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264273455,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
63,1277416,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264215483,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
64,1297240,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264182874,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
65,1316903,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264164531,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
66,1337370,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264154213,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
67,1359661,1,16.57213114,11.01061197,635.3250995,-343.4814,636.2444896,637.4660005,80.70683755,1,0.02264140947,0.02264148409,-3.016479871,-3.016479871,1,-0.01375879102,-0.01375879102,-1.200694846,-1.200694846
