sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
0,6688,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
1,16432,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
2,26498,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
3,39325,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
4,46205,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
5,56234,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
6,65969,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
7,76200,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
8,86455,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
9,96270,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
10,105976,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
11,117430,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
12,127342,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
13,139270,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
14,146167,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
15,156534,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
16,167698,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
17,177926,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
18,186086,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
19,197164,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
20,206824,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
21,217459,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
22,226774,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
23,240667,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
24,249571,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
25,256202,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
26,266691,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
27,276566,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
28,289285,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
29,298404,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
30,306524,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
31,315737,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
32,326858,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
33,339325,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
34,345619,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
35,355842,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
36,366086,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
37,375627,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
38,386425,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
39,396658,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
40,406438,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
41,416000,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
42,426547,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
43,438097,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
44,446093,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
45,455579,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
46,466122,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
47,475604,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
48,486869,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
49,495625,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
50,506438,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
51,516475,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
52,526510,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
53,539467,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
54,546059,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
55,556094,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
56,565886,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
57,576103,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
58,586340,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
59,596040,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
60,606743,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
61,615966,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
62,626456,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
63,638421,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
64,646081,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
65,655596,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
66,666107,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
67,676142,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
68,686373,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
69,695579,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
70,706092,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
71,716082,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
72,726085,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
73,738182,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
74,746123,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
75,756379,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
76,765631,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
77,776699,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
78,785966,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
79,795669,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
80,806193,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
81,815618,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
82,826638,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
83,839222,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
84,845605,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
85,856098,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
86,866099,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
87,876110,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
88,886098,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
89,896074,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
90,906092,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
91,915577,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
92,926107,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
93,937634,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
94,946583,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
95,956667,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
96,966465,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
97,976490,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
98,986485,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
99,996754,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
100,1006071,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
101,1016199,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
102,1026500,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
103,1039503,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
104,1046067,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
105,1056094,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
106,1066101,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
107,1076070,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
108,1086378,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
109,1095564,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
110,1106085,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
111,1116082,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
112,1126109,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
113,1137420,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
114,1146086,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
115,1156089,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
116,1166220,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
117,1176421,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
118,1185644,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
119,1196430,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
120,1206448,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
121,1216509,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
122,1226542,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
123,1238160,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
124,1246442,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
125,1256537,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
126,1266521,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
127,1276065,1,0,-2.74,-0.675,NaN,NaN,NaN,NaN
