sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,16432,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
1,39325,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
2,56234,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
3,76200,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
4,96270,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
5,117430,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
6,139270,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
7,156534,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
8,177926,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
9,197164,1,19.99999224,1466.663591,648.999942,0,648.999942,649.9999804,1047.691206,1,-0.03645723175,-0.03645723175,-0.4997607705,-0.4997607705,1,-0.00651582124,-0.00651582124,4.284543514,4.284543514
