sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,566,1,0,0,0,NaN,NaN,NaN,NaN,-1.174,-7.206,NaN,NaN,NaN,NaN
1,11339,1,0,0,0,NaN,NaN,NaN,NaN,-1.169,-7.212,NaN,NaN,NaN,NaN
2,21142,1,0,0,0,NaN,NaN,NaN,NaN,-1.17,-7.206,NaN,NaN,NaN,NaN
3,30911,1,0,0,0,NaN,NaN,NaN,NaN,-1.17,-7.206,NaN,NaN,NaN,NaN
4,41059,1,0,0,0,NaN,NaN,NaN,NaN,-1.17,-7.206,NaN,NaN,NaN,NaN
5,50897,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.206,NaN,NaN,NaN,NaN
6,61117,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.206,NaN,NaN,NaN,NaN
7,70909,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.206,NaN,NaN,NaN,NaN
8,81169,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.206,NaN,NaN,NaN,NaN
9,93936,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.206,NaN,NaN,NaN,NaN
10,101297,1,0,0,0,NaN,NaN,NaN,NaN,-1.167,-7.211,NaN,NaN,NaN,NaN
11,111290,1,0,0,0,NaN,NaN,NaN,NaN,-1.168,-7.204,NaN,NaN,NaN,NaN
12,121132,1,0,0,0,NaN,NaN,NaN,NaN,-1.168,-7.204,NaN,NaN,NaN,NaN
13,130930,1,0,0,0,NaN,NaN,NaN,NaN,-1.168,-7.204,NaN,NaN,NaN,NaN
14,140835,1,0,0,0,NaN,NaN,NaN,NaN,-1.174,-7.209,NaN,NaN,NaN,NaN
15,151370,1,0,0,0,NaN,NaN,NaN,NaN,-1.174,-7.209,NaN,NaN,NaN,NaN
16,160415,1,0,0,0,NaN,NaN,NaN,NaN,-1.174,-7.209,NaN,NaN,NaN,NaN
17,171059,1,0,0,0,NaN,NaN,NaN,NaN,-1.167,-7.206,NaN,NaN,NaN,NaN
18,180867,1,0,0,0,NaN,NaN,NaN,NaN,-1.171,-7.205,NaN,NaN,NaN,NaN
19,194652,1,0,0,0,NaN,NaN,NaN,NaN,-1.167,-7.205,NaN,NaN,NaN,NaN
20,201011,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.212,NaN,NaN,NaN,NaN
21,211025,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.212,NaN,NaN,NaN,NaN
22,221103,1,0,0,0,NaN,NaN,NaN,NaN,-1.173,-7.212,NaN,NaN,NaN,NaN
23,231633,1,0,0,0,NaN,NaN,NaN,NaN,-1.17,-7.213,NaN,NaN,NaN,NaN
24,242011,1,0,0,0,NaN,NaN,NaN,NaN,-1.17,-7.213,NaN,NaN,NaN,NaN
25,251145,1,0,0,0,NaN,NaN,NaN,NaN,-1.166,-7.206,NaN,NaN,NaN,NaN
26,260901,1,0,0,0,NaN,NaN,NaN,NaN,-1.172,-7.212,NaN,NaN,NaN,NaN
27,270867,1,0,0,0,NaN,NaN,NaN,NaN,-1.172,-7.212,NaN,NaN,NaN,NaN
28,280655,1,0,0,0,NaN,NaN,NaN,NaN,-1.172,-7.212,NaN,NaN,NaN,NaN
29,294717,1,0,0,0,NaN,NaN,NaN,NaN,-1.172,-7.205,NaN,NaN,NaN,NaN
30,301648,1,0,0,0,NaN,NaN,NaN,NaN,-1.172,-7.205,NaN,NaN,NaN,NaN
