sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,11339,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
1,30911,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
2,50897,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
3,70909,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
4,93936,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
5,111290,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
6,130930,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
7,151370,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
8,171059,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
9,194652,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
10,211025,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
11,231633,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
12,251145,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
13,270867,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
14,294717,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
15,311449,1,22.00766856,-0.04854429223,618.1395763,0,618.1367847,637.419938,2.479187516,1,0.02961348078,0.02961348078,-0.9099453014,-0.9099453014,1,0.000941015759,0.000941015759,0.7662500836,0.7662500836
