frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,1358726245444,2515333,1,0
1,1358726700555,2528508,1,0
2,1358746382666,2547932,1,0
3,1358746704222,2564992,1,0
4,1358747064222,2586103,1,0
5,1358747368444,2603778,1,0
6,1358747714666,2620022,1,0
7,1358748036777,2639884,1,0
8,1358748394555,2658695,1,0
9,1358748706000,2677119,1,0
10,1358749044111,2694832,1,0
11,1358749384888,2717572,1,0
12,1358749721444,2739831,1,0
13,1358750044888,2763271,1,0
14,1358750398333,2795735,1,0
15,1358750721444,2829854,1,0
16,1358751050999,2863787,1,0
17,1358751380333,2897477,1,0
18,1358751772666,2927752,1,0
19,1358752032444,2959679,1,0
20,1358752414222,2989335,1,0
21,1358752702777,3020795,1,0
22,1358753042000,3055027,1,0
23,1358753382666,3091223,1,0
24,1358753717222,3122739,1,0
25,1358754042555,3157213,1,0
26,1358754395111,3187220,1,0
27,1358754713000,3222831,1,0
28,1358755050333,3253599,1,0
29,1358755376888,3292898,1,0
30,1358755711555,3327994,1,0
31,1358756063333,3358171,1,0
32,1358756384555,3391051,1,0
33,1358756714888,3423455,1,0
34,1358757059444,3455577,1,0
35,1358757380555,3494144,1,0
36,1358757729222,3525346,1,0
37,1358758055444,3555483,1,0
38,1358758384000,3590791,1,0
39,1358758712555,3627723,1,0
40,1358759069555,3655331,1,0
41,1358759377333,3689991,1,0
42,1358759714333,3725239,1,0
43,1358760065777,3760926,1,0
44,1358760415444,3794327,1,0
45,1358760740222,3821173,1,0
46,1358761048666,3857454,1,0
47,1358761389666,3892682,1,0
48,1358761721333,3922580,1,0
49,1358762043888,3960265,1,0
50,1358762407888,3989167,1,0
51,1358762719777,4023011,1,0
52,1358763064777,4059792,1,0
53,1358763387000,4091311,1,0
54,1358763751000,4124928,1,0
55,1358764050888,4161936,1,0
56,1358764410666,4195884,1,0
57,1358764735333,4224275,1,0
58,1358765083777,4257903,1,0
59,1358765392111,4291273,1,0
60,1358765729777,4323130,1,0
61,1358766053111,4353625,1,0
62,1358766379666,4394388,1,0
63,1358766748222,4421842,1,0
64,1358767046222,4454340,1,0
65,1358767378333,4492184,1,0
66,1358767743000,4521065,1,0
67,1358768052000,4562702,1,0
68,1358768407111,4594104,1,0
69,1358768740333,4624964,1,0
70,1358769063333,4655748,1,0
71,1358769384222,4690131,1,0
72,1358769740222,4723288,1,0
73,1358770081666,4755895,1,0
74,1358770395444,4792419,1,0
75,1358770759444,4821693,1,0
76,1358771060555,4859009,1,0
77,1358771404444,4892350,1,0
78,1358771759777,4925417,1,0
79,1358772076333,4959409,1,0
80,1358772426111,4989871,1,0
81,1358772726111,5031089,1,0
82,1358773086333,5059637,1,0
83,1358773411000,5097143,1,0
84,1358773757666,5128007,1,0
85,1358774084555,5162897,1,0
86,1358774419111,5190870,1,0
87,1358774745555,5229152,1,0
88,1358775082333,5260539,1,0
