sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,6231,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.23,-3.126,-0.733,-3.738,0.5706255699,0.0002448740012
1,14245,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.23,-3.126,-0.733,-3.738,0.5706255699,0.0002448740012
2,25164,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.23,-3.126,-0.733,-3.738,0.5706255699,0.0002448740012
3,34002,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.23,-3.126,-0.733,-3.738,0.5706255699,0.0002448740012
4,44262,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.238,-3.133,-0.733,-3.738,0.5615500141,0.0002420731548
5,53894,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.243,-3.134,-0.733,-3.738,0.5558777918,0.0002416730339
6,69472,1,1,-0.07,-2.362,-0.059,-2.34,-0.006758809289,-4.644309453e-05,-0.243,-3.134,-0.733,-3.738,0.5558777918,0.0002416730339
7,77240,1,1,-0.07,-2.362,-0.059,-2.34,-0.006758809289,-4.644309453e-05,-0.243,-3.134,-0.733,-3.738,0.5558777918,0.0002416730339
8,84504,1,1,-0.07,-2.362,-0.059,-2.34,-0.006758809289,-4.644309453e-05,-0.243,-3.134,-0.733,-3.738,0.5558777918,0.0002416730339
9,94116,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.243,-3.134,-0.733,-3.738,0.5558777918,0.0002416730339
10,103927,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.231,-3.126,-0.733,-3.738,0.5694911254,0.0002448740012
11,113880,1,1,-0.071,-2.364,-0.059,-2.34,-0.007373246497,-5.066519404e-05,-0.23,-3.125,-0.733,-3.738,0.5706255699,0.0002452741221
12,126356,1,1,-0.07,-2.365,-0.059,-2.34,-0.006758809289,-5.277624379e-05,-0.23,-3.125,-0.733,-3.738,0.5706255699,0.0002452741221
13,133974,1,1,-0.07,-2.365,-0.059,-2.34,-0.006758809289,-5.277624379e-05,-0.233,-3.13,-0.733,-3.738,0.5672222365,0.0002432735175
14,144860,1,1,-0.07,-2.365,-0.059,-2.34,-0.006758809289,-5.277624379e-05,-0.234,-3.131,-0.733,-3.738,0.566087792,0.0002428733966
15,154300,1,1,-0.069,-2.364,-0.059,-2.34,-0.006144372081,-5.066519404e-05,-0.234,-3.131,-0.733,-3.738,0.566087792,0.0002428733966
16,166496,1,1,-0.068,-2.362,-0.059,-2.34,-0.005529934873,-4.644309453e-05,-0.23,-3.127,-0.733,-3.738,0.5706255699,0.0002444738803
17,176967,1,1,-0.068,-2.362,-0.059,-2.34,-0.005529934873,-4.644309453e-05,-0.229,-3.126,-0.733,-3.738,0.5717600144,0.0002448740012
18,184790,1,1,-0.068,-2.364,-0.059,-2.34,-0.005529934873,-5.066519404e-05,-0.234,-3.122,-0.733,-3.738,0.566087792,0.0002464744849
19,193730,1,1,-0.068,-2.364,-0.059,-2.34,-0.005529934873,-5.066519404e-05,-0.231,-3.127,-0.733,-3.738,0.5694911254,0.0002444738803
20,204709,1,1,-0.068,-2.364,-0.059,-2.34,-0.005529934873,-5.066519404e-05,-0.244,-3.122,-0.733,-3.738,0.5547433473,0.0002464744849
21,214563,1,1,-0.067,-2.364,-0.059,-2.34,-0.004915497665,-5.066519404e-05,-0.244,-3.122,-0.733,-3.738,0.5547433473,0.0002464744849
22,225327,1,1,-0.066,-2.363,-0.059,-2.34,-0.004301060457,-4.855414429e-05,-0.23,-3.126,-0.733,-3.738,0.5706255699,0.0002448740012
23,233677,1,1,-0.066,-2.363,-0.059,-2.34,-0.004301060457,-4.855414429e-05,-0.236,-3.123,-0.733,-3.738,0.5638189031,0.000246074364
24,244544,1,1,-0.064,-2.363,-0.059,-2.34,-0.00307218604,-4.855414429e-05,-0.236,-3.123,-0.733,-3.738,0.5638189031,0.000246074364
25,253842,1,1,-0.062,-2.362,-0.059,-2.34,-0.001843311624,-4.644309453e-05,-0.242,-3.135,-0.733,-3.738,0.5570122362,0.000241272913
26,267222,1,1,-0.062,-2.362,-0.059,-2.34,-0.001843311624,-4.644309453e-05,-0.244,-3.127,-0.733,-3.738,0.5547433473,0.0002444738803
27,276303,1,1,-0.062,-2.362,-0.059,-2.34,-0.001843311624,-4.644309453e-05,-0.244,-3.127,-0.733,-3.738,0.5547433473,0.0002444738803
28,283991,1,1,-0.062,-2.362,-0.059,-2.34,-0.001843311624,-4.644309453e-05,-0.232,-3.125,-0.733,-3.738,0.568356681,0.0002452741221
29,294190,1,1,-0.062,-2.362,-0.059,-2.34,-0.001843311624,-4.644309453e-05,-0.245,-3.132,-0.733,-3.738,0.5536089028,0.0002424732757
30,303914,1,1,-0.06,-2.362,-0.059,-2.34,-0.0006144372081,-4.644309453e-05,-0.245,-3.132,-0.733,-3.738,0.5536089028,0.0002424732757
31,314016,1,1,-0.06,-2.362,-0.059,-2.34,-0.0006144372081,-4.644309453e-05,-0.23,-3.125,-0.733,-3.738,0.5706255699,0.0002452741221
32,324853,1,1,-0.06,-2.362,-0.059,-2.34,-0.0006144372081,-4.644309453e-05,-0.244,-3.125,-0.733,-3.738,0.5547433473,0.0002452741221
33,334936,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.244,-3.125,-0.733,-3.738,0.5547433473,0.0002452741221
34,343623,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.229,-3.127,-0.733,-3.738,0.5717600144,0.0002444738803
35,353925,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.245,-3.128,-0.733,-3.738,0.5536089028,0.0002440737594
36,367115,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.245,-3.128,-0.733,-3.738,0.5536089028,0.0002440737594
37,378761,1,1,-0.056,-2.36,-0.059,-2.34,0.001843311624,-4.222099503e-05,-0.243,-3.123,-0.733,-3.738,0.5558777918,0.000246074364
38,386169,1,1,-0.056,-2.36,-0.059,-2.34,0.001843311624,-4.222099503e-05,-0.243,-3.123,-0.733,-3.738,0.5558777918,0.000246074364
39,394491,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.243,-3.123,-0.733,-3.738,0.5558777918,0.000246074364
40,404574,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.229,-3.126,-0.733,-3.738,0.5717600144,0.0002448740012
41,414406,1,1,-0.057,-2.361,-0.059,-2.34,0.001228874416,-4.433204478e-05,-0.246,-3.135,-0.733,-3.738,0.5524744584,0.000241272913
42,423929,1,1,-0.056,-2.361,-0.059,-2.34,0.001843311624,-4.433204478e-05,-0.246,-3.135,-0.733,-3.738,0.5524744584,0.000241272913
43,433996,1,1,-0.056,-2.361,-0.059,-2.34,0.001843311624,-4.433204478e-05,-0.23,-3.126,-0.733,-3.738,0.5706255699,0.0002448740012
44,445323,1,1,-0.056,-2.361,-0.059,-2.34,0.001843311624,-4.433204478e-05,-0.244,-3.126,-0.733,-3.738,0.5547433473,0.0002448740012
45,455780,1,1,-0.053,-2.361,-0.059,-2.34,0.003686623249,-4.433204478e-05,-0.244,-3.126,-0.733,-3.738,0.5547433473,0.0002448740012
46,466307,1,1,-0.052,-2.359,-0.059,-2.34,0.004301060457,-4.010994528e-05,-0.229,-3.126,-0.733,-3.738,0.5717600144,0.0002448740012
47,473997,1,1,-0.052,-2.359,-0.059,-2.34,0.004301060457,-4.010994528e-05,-0.249,-3.132,-0.733,-3.738,0.5490711249,0.0002424732757
48,485456,1,1,-0.054,-2.359,-0.059,-2.34,0.00307218604,-4.010994528e-05,-0.249,-3.132,-0.733,-3.738,0.5490711249,0.0002424732757
49,495998,1,1,-0.054,-2.359,-0.059,-2.34,0.00307218604,-4.010994528e-05,-0.231,-3.126,-0.733,-3.738,0.5694911254,0.0002448740012
