sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,7582,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
1,13849,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
2,19678,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
3,27425,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
4,37756,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
5,47197,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
6,57472,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
7,66913,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
8,77023,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
9,90504,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.741,-3.486,-0.742,-3.481,0.001134444473,-2.000604585e-06
10,96882,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
11,108658,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
12,116914,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
13,127904,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
14,137428,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
15,146850,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
16,156954,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
17,167263,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
18,177041,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
19,189727,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
20,196692,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
21,207369,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
22,216920,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.743,-3.48,-0.742,-3.481,-0.001134444473,4.00120917e-07
23,227534,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.743,-3.48,-0.742,-3.481,-0.001134444473,4.00120917e-07
24,236657,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.743,-3.48,-0.742,-3.481,-0.001134444473,4.00120917e-07
25,247001,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
26,257298,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
27,269265,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.743,-3.478,-0.742,-3.481,-0.001134444473,1.200362751e-06
28,277641,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
29,291573,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
30,300022,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
31,313089,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
32,321153,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
33,328697,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
34,336848,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
35,346927,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
36,357238,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
37,367444,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.481,-0.742,-3.481,0.004537777892,0
38,376700,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.738,-3.481,-0.742,-3.481,0.004537777892,0
39,390539,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.745,-3.482,-0.742,-3.481,-0.003403333419,-4.00120917e-07
40,397583,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
41,406716,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
42,417279,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
43,426773,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
44,436905,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
45,447106,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
46,456946,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.742,-3.477,-0.742,-3.481,0,1.600483668e-06
47,467393,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.742,-3.477,-0.742,-3.481,0,1.600483668e-06
48,476723,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.742,-3.477,-0.742,-3.481,0,1.600483668e-06
49,490341,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
50,497647,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
51,506771,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
52,517387,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
53,526868,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
54,537738,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
55,548033,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
56,557592,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
57,569138,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.742,-3.478,-0.742,-3.481,0,1.200362751e-06
58,577423,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
59,591384,1,1,0.329,-2.166,0.33,-2.167,-0.0006144372081,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
60,598733,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
61,606668,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
62,617325,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
63,627084,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.48,-0.742,-3.481,0.003403333419,4.00120917e-07
64,637156,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
65,646808,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
66,656617,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
67,666815,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.738,-3.478,-0.742,-3.481,0.004537777892,1.200362751e-06
68,677001,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.738,-3.478,-0.742,-3.481,0.004537777892,1.200362751e-06
69,690672,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.478,-0.742,-3.481,0.004537777892,1.200362751e-06
70,696642,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.478,-0.742,-3.481,0.004537777892,1.200362751e-06
71,707277,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.738,-3.478,-0.742,-3.481,0.004537777892,1.200362751e-06
72,716734,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.738,-3.478,-0.742,-3.481,0.004537777892,1.200362751e-06
73,726894,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.737,-3.479,-0.742,-3.481,0.005672222365,8.00241834e-07
74,736943,1,1,0.329,-2.166,0.33,-2.167,-0.0006144372081,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
75,747521,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.481,-0.742,-3.481,0.003403333419,0
76,757254,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
77,767041,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
78,777057,1,1,0.33,-2.165,0.33,-2.167,0,4.222099503e-06,-0.74,-3.481,-0.742,-3.481,0.002268888946,0
79,790873,1,1,0.33,-2.165,0.33,-2.167,0,4.222099503e-06,-0.738,-3.479,-0.742,-3.481,0.004537777892,8.00241834e-07
80,797595,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.738,-3.479,-0.742,-3.481,0.004537777892,8.00241834e-07
81,807128,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.479,-0.742,-3.481,0.004537777892,8.00241834e-07
82,816444,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.479,-0.742,-3.481,0.003403333419,8.00241834e-07
83,828300,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.479,-0.742,-3.481,0.003403333419,8.00241834e-07
84,839242,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.739,-3.479,-0.742,-3.481,0.003403333419,8.00241834e-07
85,849281,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.736,-3.48,-0.742,-3.481,0.006806666838,4.00120917e-07
86,856622,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.48,-0.742,-3.481,0.004537777892,4.00120917e-07
87,867206,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.48,-0.742,-3.481,0.004537777892,4.00120917e-07
88,877025,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
89,890627,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.74,-3.48,-0.742,-3.481,0.002268888946,4.00120917e-07
90,900657,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.747,-3.483,-0.742,-3.481,-0.005672222365,-8.00241834e-07
91,906971,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.739,-3.479,-0.742,-3.481,0.003403333419,8.00241834e-07
92,917084,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.739,-3.479,-0.742,-3.481,0.003403333419,8.00241834e-07
93,926970,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.739,-3.479,-0.742,-3.481,0.003403333419,8.00241834e-07
94,939624,1,1,0.331,-2.167,0.33,-2.167,0.0006144372081,0,-0.742,-3.485,-0.742,-3.481,0,-1.600483668e-06
95,947647,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.744,-3.48,-0.742,-3.481,-0.002268888946,4.00120917e-07
96,958381,1,1,0.331,-2.165,0.33,-2.167,0.0006144372081,4.222099503e-06,-0.744,-3.48,-0.742,-3.481,-0.002268888946,4.00120917e-07
97,966815,1,1,0.331,-2.165,0.33,-2.167,0.0006144372081,4.222099503e-06,-0.742,-3.478,-0.742,-3.481,0,1.200362751e-06
98,977150,1,1,0.33,-2.167,0.33,-2.167,0,0,-0.742,-3.478,-0.742,-3.481,0,1.200362751e-06
99,989410,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.746,-3.485,-0.742,-3.481,-0.004537777892,-1.600483668e-06
100,996506,1,1,0.331,-2.166,0.33,-2.167,0.0006144372081,2.111049752e-06,-0.738,-3.481,-0.742,-3.481,0.004537777892,0
101,1006992,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.738,-3.481,-0.742,-3.481,0.004537777892,0
102,1017053,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.738,-3.481,-0.742,-3.481,0.004537777892,0
103,1029931,1,1,0.33,-2.166,0.33,-2.167,0,2.111049752e-06,-0.747,-3.483,-0.742,-3.481,-0.005672222365,-8.00241834e-07
104,1037551,1,1,0.329,-2.167,0.33,-2.167,-0.0006144372081,0,-0.747,-3.483,-0.742,-3.481,-0.005672222365,-8.00241834e-07
