sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,13849,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
1,27425,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
2,47197,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
3,66913,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
4,90504,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
5,108658,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
6,127904,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
7,146850,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
8,167263,1,10.36624777,-1.642202307,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
9,189727,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
10,207369,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
11,227534,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
12,247001,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
13,269265,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
14,291573,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
15,313089,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
16,328697,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
17,346927,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
18,367444,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
19,390539,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
20,406716,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
21,426773,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
22,447106,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
23,467393,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
24,490341,1,10.36624777,-1.642202307,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
25,506771,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
26,526868,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
27,548033,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
28,569138,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
29,591384,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
30,606668,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
31,627084,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
32,646808,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
33,666815,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
34,690672,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
35,707277,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
36,726894,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
37,747521,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
38,767041,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
39,790873,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
40,807128,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
41,828300,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
42,849281,1,10.36624777,-1.642841048,645.5762684,0,646.1829914,659.8218524,0.6183214424,1,0.007200196338,0.007200196338,2.615066347,2.615066347,1,-0.05587637514,-0.05587637514,1.904241562,1.904241562
