sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,140,1,1,0.7,1.266,0.71,1.266,-0.00701461986,0,-0.452,-3.761,-0.458,-3.775,0.00683997774,5.483030574e-06
1,10186,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.761,-0.458,-3.775,0.00455998516,5.483030574e-06
2,17052,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.451,-3.761,-0.458,-3.775,0.00797997403,5.483030574e-06
3,26274,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.451,-3.761,-0.458,-3.775,0.00797997403,5.483030574e-06
4,36290,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.452,-3.761,-0.458,-3.775,0.00683997774,5.483030574e-06
5,46511,1,1,0.576,1.056,0.71,1.266,-0.09399590612,-0.0003906737446,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
6,58133,1,1,0.576,1.056,0.71,1.266,-0.09399590612,-0.0003906737446,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
7,66464,1,1,0.576,1.056,0.71,1.266,-0.09399590612,-0.0003906737446,-0.454,-3.765,-0.458,-3.775,0.00455998516,3.91645041e-06
8,75943,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.453,-3.762,-0.458,-3.775,0.00569998145,5.091385533e-06
9,86231,1,1,0.7,1.266,0.71,1.266,-0.00701461986,0,-0.453,-3.762,-0.458,-3.775,0.00569998145,5.091385533e-06
10,98909,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
11,109171,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
12,115919,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
13,125887,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.455,-3.76,-0.458,-3.775,0.00341998887,5.874675615e-06
14,135578,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.455,-3.763,-0.458,-3.775,0.00341998887,4.699740492e-06
15,145622,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.455,-3.763,-0.458,-3.775,0.00341998887,4.699740492e-06
16,156688,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
17,168834,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.76,-0.458,-3.775,0.00569998145,5.874675615e-06
18,175621,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.454,-3.761,-0.458,-3.775,0.00455998516,5.483030574e-06
19,186389,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.76,-0.458,-3.775,0.00569998145,5.874675615e-06
20,198004,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.762,-0.458,-3.775,0.00569998145,5.091385533e-06
21,206343,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.762,-0.458,-3.775,0.00569998145,5.091385533e-06
22,218131,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.452,-3.761,-0.458,-3.775,0.00683997774,5.483030574e-06
23,226624,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.456,-3.764,-0.458,-3.775,0.00227999258,4.308095451e-06
24,236405,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.456,-3.764,-0.458,-3.775,0.00227999258,4.308095451e-06
25,246504,1,1,0.7,1.267,0.71,1.266,-0.00701461986,1.860351165e-06,-0.453,-3.76,-0.458,-3.775,0.00569998145,5.874675615e-06
26,256197,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.453,-3.76,-0.458,-3.775,0.00569998145,5.874675615e-06
27,269402,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.453,-3.76,-0.458,-3.775,0.00569998145,5.874675615e-06
28,276788,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.761,-0.458,-3.775,0.00455998516,5.483030574e-06
29,286460,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.455,-3.763,-0.458,-3.775,0.00341998887,4.699740492e-06
30,299762,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.455,-3.763,-0.458,-3.775,0.00341998887,4.699740492e-06
31,306698,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.452,-3.761,-0.458,-3.775,0.00683997774,5.483030574e-06
32,319809,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.761,-0.458,-3.775,0.00455998516,5.483030574e-06
33,325909,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.761,-0.458,-3.775,0.00455998516,5.483030574e-06
34,336517,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.761,-0.458,-3.775,0.00455998516,5.483030574e-06
35,346507,1,1,0.699,1.267,0.71,1.266,-0.007716081846,1.860351165e-06,-0.455,-3.761,-0.458,-3.775,0.00341998887,5.483030574e-06
36,356268,1,1,0.699,1.267,0.71,1.266,-0.007716081846,1.860351165e-06,-0.455,-3.761,-0.458,-3.775,0.00341998887,5.483030574e-06
37,370089,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.457,-3.759,-0.458,-3.775,0.00113999629,6.266320656e-06
38,376274,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.76,-0.458,-3.775,0.00455998516,5.874675615e-06
39,386751,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.454,-3.76,-0.458,-3.775,0.00455998516,5.874675615e-06
40,408976,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,429587,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,446616,1,1,0.698,1.266,0.71,1.266,-0.008417543832,0,-0.452,-3.761,-0.458,-3.775,0.00683997774,5.483030574e-06
43,459664,1,1,0.699,1.266,0.71,1.266,-0.007716081846,0,-0.456,-3.762,-0.458,-3.775,0.00227999258,5.091385533e-06
44,469853,1,1,0.698,1.267,0.71,1.266,-0.008417543832,1.860351165e-06,-0.451,-3.762,-0.458,-3.775,0.00797997403,5.091385533e-06
45,476180,1,1,0.698,1.267,0.71,1.266,-0.008417543832,1.860351165e-06,-0.451,-3.762,-0.458,-3.775,0.00797997403,5.091385533e-06
46,486420,1,1,0.698,1.267,0.71,1.266,-0.008417543832,1.860351165e-06,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
47,495632,1,1,0.698,1.266,0.71,1.266,-0.008417543832,0,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
48,506094,1,1,0.699,1.267,0.71,1.266,-0.007716081846,1.860351165e-06,-0.453,-3.761,-0.458,-3.775,0.00569998145,5.483030574e-06
