sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,140,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
1,17052,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
2,36290,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
3,58133,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
4,75943,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
5,98909,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
6,115919,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
7,135578,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
8,156688,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
9,175621,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
10,198004,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
11,218131,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
12,236405,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
13,256197,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
14,276788,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
15,299762,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
16,319809,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
17,336517,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
18,356268,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
19,376274,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
20,408976,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
21,446616,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
22,469853,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
23,486420,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
24,506094,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
25,530761,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
26,546500,1,9.960214816,2.814291468,606.9767719,0,606.9561446,615.0043753,0.02496892756,1,0.01345937692,0.01345937692,-2.429568884,-2.429568884,1,0.01635371327,0.01635371327,-5.308325287,-5.308325287
