frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,3922614438777,2736109,1,0
1,3922614947000,2758572,1,0
2,3922634407111,2788656,1,0
3,3922634745555,2806634,1,0
4,3922635086666,2830842,1,0
5,3922635408888,2850427,1,0
6,3922635762666,2871172,1,0
7,3922636127333,2889316,1,0
8,3922636419333,2912922,1,0
9,3922636740777,2933321,1,0
10,3922637104444,2961826,1,0
11,3922637408999,2985548,1,0
12,3922637757555,3022652,1,0
13,3922638082999,3033676,1,0
14,3922638407222,3059556,1,0
15,3922638744222,3085724,1,0
16,3922639082333,3110241,1,0
17,3922639411111,3148283,1,0
18,3922639765222,3175060,1,0
19,3922640086666,3203929,1,0
20,3922640410555,3234185,1,0
21,3922640759111,3267001,1,0
22,3922641093000,3297628,1,0
23,3922641408111,3335908,1,0
24,3922641760444,3367726,1,0
25,3922642086666,3399461,1,0
26,3922642412222,3432924,1,0
27,3922642757000,3468296,1,0
28,3922643092777,3499787,1,0
29,3922643414888,3535662,1,0
30,3922643756666,3565814,1,0
31,3922644088000,3598112,1,0
32,3922644412666,3634849,1,0
33,3922644770000,3668364,1,0
34,3922645094777,3701658,1,0
35,3922645432888,3734360,1,0
36,3922645762555,3769147,1,0
37,3922646103333,3802331,1,0
38,3922646433000,3836170,1,0
39,3922646753888,3869294,1,0
40,3922647101777,3905084,1,0
41,3922647454333,3936542,1,0
42,3922647774222,3965976,1,0
43,3922648095444,4000199,1,0
44,3922648418555,4033091,1,0
45,3922648755555,4069242,1,0
46,3922649104444,4097935,1,0
47,3922649419444,4133482,1,0
48,3922649767666,4167318,1,0
49,3922650087333,4200588,1,0
50,3922650431777,4233138,1,0
51,3922650762111,4267972,1,0
52,3922651106222,4299422,1,0
53,3922651422111,4333549,1,0
54,3922651768777,4365395,1,0
55,3922652088222,4403020,1,0
56,3922652451111,4434454,1,0
57,3922652767333,4467531,1,0
58,3922653100444,4500888,1,0
59,3922653433111,4535613,1,0
60,3922653783666,4568011,1,0
61,3922654102888,4606497,1,0
62,3922654489111,4634063,1,0
63,3922654760333,4667747,1,0
64,3922655103111,4701787,1,0
65,3922655436777,4734208,1,0
66,3922655766444,4767887,1,0
67,3922656105444,4800527,1,0
68,3922656431555,4835398,1,0
69,3922656770888,4870671,1,0
70,3922657122555,4901606,1,0
71,3922657440555,4937594,1,0
72,3922657791666,4968966,1,0
73,3922658107777,5003849,1,0
74,3922658448444,5033695,1,0
75,3922658761444,5068172,1,0
76,3922659100222,5103519,1,0
77,3922659444888,5137908,1,0
78,3922659802888,5167421,1,0
79,3922660099888,5202250,1,0
80,3922660447222,5238256,1,0
81,3922660794444,5269066,1,0
82,3922661102444,5303972,1,0
83,3922661449777,5335199,1,0
84,3922661768333,5367495,1,0
