sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,4564,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
1,14327,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
2,24307,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
3,35779,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
4,43507,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
5,53297,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
6,63463,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
7,73798,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
8,86726,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
9,94082,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
10,107205,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
11,113044,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
12,125571,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
13,136057,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
14,143538,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
15,153837,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
16,163299,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
17,175997,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
18,183064,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
19,193339,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
20,203367,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
21,223212,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
22,239819,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
23,247522,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
24,254671,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
25,263446,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
26,274717,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
27,284154,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
28,298549,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
29,304297,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
30,315276,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
31,323481,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
32,333766,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
33,347784,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
34,358798,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
35,365202,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
36,373080,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
37,387827,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
38,394036,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
39,403713,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
40,415984,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
41,423088,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
42,434258,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
43,446848,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
44,453623,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
45,463443,1,0,-0.016,1.031,NaN,NaN,NaN,NaN,-0.508,-2.049,NaN,NaN,NaN,NaN
