sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,14327,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
1,35779,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
2,53297,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
3,73798,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
4,94082,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
5,113044,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
6,136057,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
7,153837,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
8,175997,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
9,193339,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
10,223212,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
11,247522,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
12,263446,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
13,284154,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
14,304297,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
15,323481,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
16,347784,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
17,365202,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
18,387827,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
19,403713,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
20,423088,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
21,446848,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
22,463443,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
23,483098,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
24,503400,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
25,527437,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
26,546037,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
27,563163,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
28,586964,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
29,603601,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
30,623461,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
31,647750,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
32,664125,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
33,684321,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
34,703875,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
35,723680,1,9.960214816,2.256670848,606.976927,0,606.9559895,623.7122158,14.37029878,1,0.01424355672,0.01424355672,-2.448043983,-2.448043983,1,-0.0001283203308,-0.0001283203308,-5.448474778,-5.448474778
