sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,5399,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,0.056,-1.659,-0.426,-1.827,0.5494782118,6.579636689e-05
1,14120,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,0.056,-1.659,-0.426,-1.827,0.5494782118,6.579636689e-05
2,22966,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,-0.426,-1.828,-0.426,-1.827,0,-3.91645041e-07
3,33151,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.427,-1.831,-0.426,-1.827,-0.00113999629,-1.566580164e-06
4,43553,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.427,-1.831,-0.426,-1.827,-0.00113999629,-1.566580164e-06
5,58330,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.431,-1.829,-0.426,-1.827,-0.00569998145,-7.83290082e-07
6,64956,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.431,-1.829,-0.426,-1.827,-0.00569998145,-7.83290082e-07
7,75079,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.431,-1.829,-0.426,-1.827,-0.00569998145,-7.83290082e-07
8,82756,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.427,-1.829,-0.426,-1.827,-0.00113999629,-7.83290082e-07
9,92738,1,1,0.648,0.903,0.647,0.901,0.000701461986,3.72070233e-06,-0.428,-1.832,-0.426,-1.827,-0.00227999258,-1.958225205e-06
10,104254,1,1,0.648,0.903,0.647,0.901,0.000701461986,3.72070233e-06,-0.428,-1.832,-0.426,-1.827,-0.00227999258,-1.958225205e-06
11,113118,1,1,0.648,0.903,0.647,0.901,0.000701461986,3.72070233e-06,-0.428,-1.831,-0.426,-1.827,-0.00227999258,-1.566580164e-06
12,122517,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.431,-1.83,-0.426,-1.827,-0.00569998145,-1.174935123e-06
13,132774,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.431,-1.83,-0.426,-1.827,-0.00569998145,-1.174935123e-06
14,142363,1,1,0.647,0.902,0.647,0.901,0,1.860351165e-06,-0.428,-1.828,-0.426,-1.827,-0.00227999258,-3.91645041e-07
15,154952,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,-0.429,-1.828,-0.426,-1.827,-0.00341998887,-3.91645041e-07
16,162328,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,-0.429,-1.828,-0.426,-1.827,-0.00341998887,-3.91645041e-07
17,176552,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,-0.431,-1.827,-0.426,-1.827,-0.00569998145,0
18,184098,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,-0.431,-1.827,-0.426,-1.827,-0.00569998145,0
19,192748,1,1,0.647,0.903,0.647,0.901,0,3.72070233e-06,-0.431,-1.827,-0.426,-1.827,-0.00569998145,0
