sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,14120,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
1,33151,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
2,58330,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
3,75079,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
4,92738,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
5,113118,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
6,132774,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
7,154952,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
8,176552,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
9,192748,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
10,213378,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
11,232324,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
12,254982,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
13,275857,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
14,292809,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
15,314255,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
16,332353,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
17,356320,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
18,376221,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
19,392702,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
20,414377,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
21,432320,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
22,453033,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
23,474880,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
24,492407,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
25,515856,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
26,533293,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
27,553468,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
28,576039,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
29,592519,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
30,616967,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
31,632751,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
32,653266,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
33,679031,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
34,692393,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
35,716197,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
36,732780,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
37,752340,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
38,777556,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
39,792672,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
40,812235,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
41,832211,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
42,852624,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
43,876647,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
44,892541,1,4.267068252,2.255393367,606.9113228,0,606.9096167,616.6162548,0.8026375258,1,0.0282589884,0.0282589884,2.619358542,2.619358542,1,-0.07576602641,-0.07576602641,0.9644375139,0.9644375139
