frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,4484204712444,1813325,1,0
1,4484205005222,1826483,1,0
2,4484209083444,1846049,1,0
3,4484209262555,1859766,1,0
4,4484209525000,1881003,1,0
5,4484209802666,1895561,1,0
6,4484210128000,1915172,1,0
7,4484210465444,1931025,1,0
8,4484210804222,1945072,1,0
9,4484211083444,1960175,1,0
10,4484211421111,1974437,1,0
11,4484211753333,1992367,1,0
12,4484212066555,2011518,1,0
13,4484212402555,2051190,1,0
14,4484212748555,2080869,1,0
15,4484213078444,2115295,1,0
16,4484213394000,2148517,1,0
17,4484213731444,2179984,1,0
18,4484214047777,2214571,1,0
19,4484214382111,2245805,1,0
20,4484214706000,2279435,1,0
21,4484215024333,2313253,1,0
22,4484215374888,2345165,1,0
23,4484215708111,2376070,1,0
24,4484216018111,2414091,1,0
25,4484216389777,2443552,1,0
26,4484216691777,2475783,1,0
27,4484217020555,2509265,1,0
28,4484217358111,2542439,1,0
29,4484217700222,2574243,1,0
30,4484218026444,2608020,1,0
31,4484218368333,2639913,1,0
32,4484218701000,2676100,1,0
33,4484219039777,2707519,1,0
34,4484219366666,2741608,1,0
35,4484219708333,2774863,1,0
36,4484220026333,2808037,1,0
37,4484220359888,2843176,1,0
38,4484220715555,2876207,1,0
39,4484221024888,2912843,1,0
40,4484221371000,2948139,1,0
41,4484221701555,2985925,1,0
42,4484222048222,3013955,1,0
43,4484222375666,3053463,1,0
44,4484222713777,3082165,1,0
45,4484223041888,3115450,1,0
46,4484223366777,3149319,1,0
47,4484223725777,3180465,1,0
48,4484224030000,3220071,1,0
49,4484224362111,3247656,1,0
50,4484224709333,3279787,1,0
51,4484225030777,3315601,1,0
52,4484225377333,3347320,1,0
53,4484225704666,3378810,1,0
54,4484226031333,3412655,1,0
55,4484226366666,3449612,1,0
56,4484226721888,3479434,1,0
57,4484227037555,3516243,1,0
58,4484227404222,3550436,1,0
59,4484227721666,3578654,1,0
60,4484228030555,3614830,1,0
61,4484228383111,3646112,1,0
62,4484228705555,3679578,1,0
63,4484229038666,3714738,1,0
64,4484229392333,3745406,1,0
65,4484229698000,3781308,1,0
66,4484230047666,3814779,1,0
67,4484230388222,3847353,1,0
68,4484230715000,3880926,1,0
69,4484231049222,3915886,1,0
70,4484231381888,3949035,1,0
71,4484231716777,3983031,1,0
72,4484232050888,4014661,1,0
73,4484232383888,4046765,1,0
74,4484232716666,4081592,1,0
75,4484233064111,4115449,1,0
76,4484233390555,4147780,1,0
77,4484233716666,4183558,1,0
78,4484234088777,4213263,1,0
79,4484234383222,4246586,1,0
80,4484234712555,4283143,1,0
81,4484235073555,4313418,1,0
82,4484235384777,4347016,1,0
83,4484235717444,4380599,1,0
84,4484236047888,4413207,1,0
85,4484236378666,4447747,1,0
86,4484236721000,4485064,1,0
87,4484237082777,4513514,1,0
88,4484237378222,4546122,1,0
89,4484237710222,4580094,1,0
90,4484238055555,4615312,1,0
91,4484238393777,4648763,1,0
92,4484238741000,4680159,1,0
93,4484239054666,4714233,1,0
94,4484239390444,4749369,1,0
95,4484239739444,4780905,1,0
96,4484240048666,4813508,1,0
97,4484240382888,4851202,1,0
98,4484240747777,4880162,1,0
99,4484241048555,4915126,1,0
100,4484241402222,4946440,1,0
101,4484241716555,4981145,1,0
102,4484242054444,5018143,1,0
103,4484242431000,5047688,1,0
104,4484242726222,5081726,1,0
105,4484243060444,5116456,1,0
106,4484243413222,5147944,1,0
107,4484243728666,5180353,1,0
108,4484244051222,5214256,1,0
109,4484244387222,5247917,1,0
110,4484244719000,5281560,1,0
111,4484245054444,5316806,1,0
112,4484245403000,5347817,1,0
113,4484245719666,5381415,1,0
114,4484246062111,5416000,1,0
115,4484246396000,5449036,1,0
116,4484246723222,5484746,1,0
117,4484247083000,5515755,1,0
118,4484247400444,5552903,1,0
119,4484247743888,5585906,1,0
120,4484248057222,5616989,1,0
121,4484248401666,5648229,1,0
122,4484248731666,5683316,1,0
123,4484249068111,5715642,1,0
124,4484249392333,5750364,1,0
125,4484249722555,5785900,1,0
126,4484250083555,5822913,1,0
127,4484250409111,5852708,1,0
128,4484250746777,5886254,1,0
129,4484251084444,5918675,1,0
130,4484251404666,5952293,1,0
131,4484251742888,5989222,1,0
132,4484252066666,6019380,1,0
133,4484252399555,6063218,1,0
134,4484252737777,6088814,1,0
135,4484253079333,6117438,1,0
136,4484253408000,6152064,1,0
137,4484253753666,6187049,1,0
138,4484254060333,6216395,1,0
139,4484254404222,6251662,1,0
140,4484254740666,6286880,1,0
141,4484255076777,6318636,1,0
142,4484255410444,6353266,1,0
143,4484255749222,6384198,1,0
144,4484256069777,6416133,1,0
145,4484256402333,6450826,1,0
146,4484256739666,6482549,1,0
147,4484257067444,6516762,1,0
148,4484257414222,6558831,1,0
149,4484257779222,6581279,1,0
150,4484258065333,6616497,1,0
151,4484258412000,6650937,1,0
152,4484258749000,6681583,1,0
153,4484259071000,6716674,1,0
154,4484259410666,6751708,1,0
155,4484259766222,6781263,1,0
156,4484260066777,6825309,1,0
157,4484260416333,6850431,1,0
158,4484260740888,6886636,1,0
159,4484261110555,6918320,1,0
160,4484261431666,6952170,1,0
161,4484261740000,6985121,1,0
162,4484262100777,7018678,1,0
163,4484262443444,7051279,1,0
164,4484262747666,7085224,1,0
165,4484263099111,7120197,1,0
166,4484263449666,7152080,1,0
167,4484263766222,7185511,1,0
168,4484264095555,7217330,1,0
169,4484264420333,7251252,1,0
170,4484264754000,7281984,1,0
171,4484265069000,7321142,1,0
172,4484265431666,7354436,1,0
173,4484265752777,7383931,1,0
174,4484266081666,7417913,1,0
175,4484266418555,7450439,1,0
176,4484266751000,7483461,1,0
177,4484267073222,7517466,1,0
178,4484267416777,7555291,1,0
179,4484267803000,7584884,1,0
180,4484268088444,7620586,1,0
181,4484268456000,7650658,1,0
182,4484268752777,7683551,1,0
183,4484269092111,7721973,1,0
184,4484269470111,7755773,1,0
185,4484269804111,7784417,1,0
186,4484270094777,7820766,1,0
