frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,4718142769000,1942737,1,0
1,4718143710777,1964299,1,0
2,4718149318777,1982464,1,0
3,4718149664444,2007474,1,0
4,4718149991444,2030827,1,0
5,4718150322555,2052209,1,0
6,4718150658000,2071407,1,0
7,4718151001666,2099029,1,0
8,4718151313555,2125928,1,0
9,4718151656111,2148076,1,0
10,4718152002666,2171803,1,0
11,4718152322555,2196283,1,0
12,4718152646222,2208768,1,0
13,4718152983666,2225452,1,0
14,4718153353222,2241229,1,0
15,4718153650888,2260034,1,0
16,4718154009333,2306850,1,0
17,4718154318000,2326183,1,0
18,4718154654000,2369347,1,0
19,4718154992666,2401279,1,0
20,4718155326333,2422991,1,0
21,4718155660888,2459444,1,0
22,4718156010777,2485108,1,0
23,4718156341444,2516354,1,0
24,4718156655444,2549978,1,0
25,4718156992222,2585491,1,0
26,4718157326888,2615681,1,0
27,4718157650888,2651609,1,0
28,4718158004111,2683753,1,0
29,4718158332666,2718789,1,0
30,4718158691555,2750720,1,0
31,4718159009666,2782529,1,0
32,4718159320666,2816766,1,0
33,4718159660888,2851016,1,0
34,4718159993333,2884321,1,0
35,4718160328777,2920267,1,0
36,4718160679888,2952861,1,0
37,4718161002777,2985998,1,0
38,4718161353444,3018026,1,0
39,4718161657666,3053355,1,0
40,4718162013222,3089452,1,0
41,4718162364222,3122185,1,0
42,4718162675111,3153238,1,0
43,4718163008000,3187383,1,0
44,4718163329888,3218583,1,0
45,4718163658222,3254459,1,0
46,4718163998777,3295289,1,0
47,4718164369222,3326668,1,0
48,4718164696777,3357631,1,0
49,4718165014444,3391584,1,0
50,4718165345777,3421019,1,0
51,4718165673777,3456666,1,0
52,4718166000777,3491924,1,0
53,4718166356555,3520804,1,0
54,4718166661666,3557177,1,0
55,4718167002888,3590679,1,0
56,4718167354555,3622013,1,0
57,4718167664777,3656216,1,0
58,4718168013333,3688548,1,0
59,4718168363555,3724180,1,0
60,4718168675777,3760442,1,0
61,4718169000222,3787221,1,0
62,4718169330444,3825503,1,0
63,4718169704555,3854821,1,0
64,4718170003888,3887251,1,0
65,4718170347666,3918022,1,0
66,4718170664444,3952438,1,0
67,4718171013111,3984634,1,0
68,4718171344222,4016869,1,0
69,4718171662000,4051483,1,0
70,4718172004333,4087076,1,0
71,4718172353666,4118419,1,0
72,4718172684222,4152334,1,0
73,4718173023888,4186879,1,0
74,4718173363888,4218854,1,0
75,4718173685666,4254612,1,0
76,4718174042555,4288086,1,0
77,4718174375666,4318462,1,0
78,4718174670000,4352191,1,0
79,4718175025000,4386160,1,0
80,4718175335222,4417818,1,0
81,4718175674444,4452338,1,0
82,4718176021777,4485430,1,0
83,4718176345777,4520682,1,0
84,4718176684111,4556477,1,0
85,4718177042222,4590855,1,0
86,4718177385888,4619425,1,0
87,4718177673666,4655016,1,0
88,4718178029777,4686009,1,0
89,4718178338777,4723213,1,0
90,4718178708555,4756587,1,0
91,4718179020444,4791405,1,0
92,4718179389777,4822219,1,0
93,4718179680555,4855563,1,0
94,4718180009888,4886804,1,0
95,4718180340222,4923439,1,0
96,4718180681111,4955451,1,0
97,4718181016222,4989605,1,0
98,4718181359444,5023515,1,0
99,4718181701444,5056444,1,0
100,4718182014444,5090423,1,0
101,4718182354555,5123431,1,0
102,4718182717666,5155811,1,0
103,4718183024555,5190534,1,0
104,4718183368888,5220251,1,0
105,4718183675666,5254116,1,0
106,4718184025777,5288711,1,0
107,4718184354444,5321577,1,0
108,4718184682111,5355516,1,0
109,4718185045222,5387937,1,0
110,4718185361111,5421885,1,0
111,4718185715000,5456840,1,0
112,4718186045666,5489847,1,0
113,4718186373555,5522557,1,0
114,4718186689111,5558878,1,0
115,4718187030111,5588808,1,0
116,4718187354555,5623253,1,0
117,4718187679777,5658637,1,0
118,4718188038000,5692323,1,0
119,4718188356333,5725280,1,0
120,4718188702666,5758094,1,0
121,4718189030333,5792342,1,0
122,4718189358777,5827309,1,0
123,4718189705444,5859048,1,0
124,4718190029666,5890916,1,0
125,4718190347111,5927214,1,0
126,4718190698888,5959641,1,0
127,4718191030444,5997299,1,0
128,4718191383333,6031570,1,0
129,4718191708111,6060906,1,0
130,4718192043000,6092095,1,0
131,4718192382555,6131517,1,0
132,4718192712777,6162704,1,0
133,4718193021888,6196253,1,0
134,4718193366555,6231053,1,0
135,4718193685888,6267734,1,0
136,4718194095222,6296286,1,0
137,4718194379555,6329654,1,0
138,4718194719888,6370161,1,0
139,4718195081222,6398598,1,0
140,4718195369888,6427568,1,0
141,4718195714222,6459375,1,0
142,4718196037222,6491727,1,0
143,4718196377000,6527489,1,0
144,4718196699555,6564999,1,0
145,4718197049666,6593550,1,0
146,4718197375333,6636348,1,0
147,4718197724888,6671458,1,0
148,4718198040000,6705883,1,0
149,4718198384777,6729064,1,0
150,4718198723222,6762047,1,0
151,4718199045111,6799280,1,0
152,4718199361000,6822339,1,0
153,4718199696333,6864718,1,0
154,4718200028444,6895842,1,0
155,4718200378888,6926864,1,0
156,4718200718888,6957146,1,0
157,4718201035888,6988928,1,0
158,4718201374555,7024427,1,0
159,4718201707111,7053928,1,0
160,4718202033111,7087437,1,0
161,4718202363777,7123487,1,0
162,4718202732666,7155391,1,0
163,4718203038555,7187616,1,0
164,4718203365555,7221875,1,0
165,4718203706777,7256827,1,0
166,4718204042111,7289519,1,0
167,4718204366333,7326248,1,0
168,4718204710000,7360206,1,0
169,4718205065000,7392467,1,0
170,4718205390777,7424589,1,0
171,4718205706000,7463059,1,0
172,4718206078333,7495471,1,0
173,4718206398222,7526540,1,0
174,4718206722000,7564537,1,0
175,4718207072333,7592968,1,0
176,4718207372555,7627866,1,0
177,4718207708333,7661707,1,0
178,4718208050000,7694010,1,0
179,4718208379777,7728013,1,0
180,4718208716444,7761699,1,0
181,4718209058555,7794840,1,0
182,4718209386333,7826153,1,0
183,4718209716444,7861134,1,0
184,4718210057888,7893695,1,0
185,4718210381555,7926851,1,0
186,4718210715111,7964394,1,0
187,4718211074888,7992745,1,0
188,4718211385888,8029329,1,0
189,4718211721888,8060292,1,0
190,4718212066000,8091390,1,0
