sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,12621,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
1,31563,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
2,52188,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
3,75690,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
4,91569,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
5,111600,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
6,132479,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
7,154393,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
8,177916,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
9,192413,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
10,211723,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
11,233024,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
12,252067,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
13,274140,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
14,292361,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
15,311598,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
16,332728,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
17,351528,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
18,374062,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
19,392512,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
20,411585,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
21,432366,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
22,451617,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
23,474564,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
24,492126,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
25,512601,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
26,531847,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
27,554280,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.0009079610021,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
28,574126,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
29,592450,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
30,612379,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
31,631588,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
32,653630,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
33,673397,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
34,692321,1,27.97719049,0.1494653208,634.9772263,0,639.9774183,640.0000618,-0.000453980501,1,0.01233300957,0.01233300957,1.056439777,1.056439777,1,-0.0001710937744,-0.0001710937744,1.292510492,1.292510492
