sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,6561,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.273,-3.974,4.267,-3.982,0.00683997774,3.133160328e-06
1,16980,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.273,-3.974,4.267,-3.982,0.00683997774,3.133160328e-06
2,28128,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.974,4.267,-3.982,0.00797997403,3.133160328e-06
3,35416,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.276,-3.975,4.267,-3.982,0.01025996661,2.741515287e-06
4,45507,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.276,-3.975,4.267,-3.982,0.01025996661,2.741515287e-06
5,55426,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.276,-3.975,4.267,-3.982,0.01025996661,2.741515287e-06
6,66681,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.272,-3.976,4.267,-3.982,0.00569998145,2.349870246e-06
7,76043,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.272,-3.976,4.267,-3.982,0.00569998145,2.349870246e-06
8,86615,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.272,-3.975,4.267,-3.982,0.00569998145,2.741515287e-06
9,95482,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.272,-3.975,4.267,-3.982,0.00569998145,2.741515287e-06
10,106110,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.272,-3.975,4.267,-3.982,0.00569998145,2.741515287e-06
11,117668,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
12,128760,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
13,135814,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
14,146270,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
15,156206,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
16,169967,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
17,177804,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.268,-3.975,4.267,-3.982,0.00113999629,2.741515287e-06
18,186864,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.271,-3.978,4.267,-3.982,0.00455998516,1.566580164e-06
19,196563,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.271,-3.978,4.267,-3.982,0.00455998516,1.566580164e-06
20,211209,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
21,217682,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.27,-3.974,4.267,-3.982,0.00341998887,3.133160328e-06
22,231317,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.27,-3.974,4.267,-3.982,0.00341998887,3.133160328e-06
23,242038,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
24,247258,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.975,4.267,-3.982,0.00455998516,2.741515287e-06
25,256259,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.975,4.267,-3.982,0.00455998516,2.741515287e-06
26,267230,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.975,4.267,-3.982,0.00455998516,2.741515287e-06
27,275509,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.273,-3.974,4.267,-3.982,0.00683997774,3.133160328e-06
28,286086,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.273,-3.974,4.267,-3.982,0.00683997774,3.133160328e-06
29,297120,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.275,-3.975,4.267,-3.982,0.00911997032,2.741515287e-06
30,306111,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.975,4.267,-3.982,0.00227999258,2.741515287e-06
31,316334,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.975,4.267,-3.982,0.00227999258,2.741515287e-06
32,333671,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.27,-3.976,4.267,-3.982,0.00341998887,2.349870246e-06
33,342659,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.27,-3.976,4.267,-3.982,0.00341998887,2.349870246e-06
34,347652,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.27,-3.976,4.267,-3.982,0.00341998887,2.349870246e-06
35,355998,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.27,-3.976,4.267,-3.982,0.00341998887,2.349870246e-06
36,366332,1,1,-0.109,-2.382,-0.107,-2.386,-0.001402923972,7.44140466e-06,4.272,-3.975,4.267,-3.982,0.00569998145,2.741515287e-06
37,375876,1,1,-0.109,-2.382,-0.107,-2.386,-0.001402923972,7.44140466e-06,4.272,-3.975,4.267,-3.982,0.00569998145,2.741515287e-06
38,386579,1,1,-0.109,-2.382,-0.107,-2.386,-0.001402923972,7.44140466e-06,4.272,-3.975,4.267,-3.982,0.00569998145,2.741515287e-06
39,397031,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.976,4.267,-3.982,0.00797997403,2.349870246e-06
40,406768,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
41,416163,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
42,427597,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
43,446958,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.267,-3.976,4.267,-3.982,0,2.349870246e-06
44,461317,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
45,467728,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
46,476126,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
47,485975,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.279,-3.978,4.267,-3.982,0.01367995548,1.566580164e-06
48,501761,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.279,-3.978,4.267,-3.982,0.01367995548,1.566580164e-06
49,508538,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
50,515968,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.273,-3.978,4.267,-3.982,0.00683997774,1.566580164e-06
51,526105,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.273,-3.978,4.267,-3.982,0.00683997774,1.566580164e-06
52,537119,1,1,-0.109,-2.383,-0.107,-2.386,-0.001402923972,5.581053495e-06,4.274,-3.977,4.267,-3.982,0.00797997403,1.958225205e-06
53,546215,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.279,-3.979,4.267,-3.982,0.01367995548,1.174935123e-06
54,561442,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.279,-3.979,4.267,-3.982,0.01367995548,1.174935123e-06
55,569836,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
56,577727,1,1,-0.109,-2.382,-0.107,-2.386,-0.001402923972,7.44140466e-06,4.28,-3.981,4.267,-3.982,0.01481995177,3.91645041e-07
57,585451,1,1,-0.109,-2.382,-0.107,-2.386,-0.001402923972,7.44140466e-06,4.28,-3.981,4.267,-3.982,0.01481995177,3.91645041e-07
58,595508,1,1,-0.109,-2.382,-0.107,-2.386,-0.001402923972,7.44140466e-06,4.28,-3.981,4.267,-3.982,0.01481995177,3.91645041e-07
59,607253,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.267,-3.974,4.267,-3.982,0,3.133160328e-06
60,625265,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.267,-3.974,4.267,-3.982,0,3.133160328e-06
61,630598,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.269,-3.975,4.267,-3.982,0.00227999258,2.741515287e-06
62,639568,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.273,-3.978,4.267,-3.982,0.00683997774,1.566580164e-06
63,650061,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.273,-3.978,4.267,-3.982,0.00683997774,1.566580164e-06
64,658617,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.974,4.267,-3.982,0.00455998516,3.133160328e-06
65,667273,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.974,4.267,-3.982,0.00113999629,3.133160328e-06
66,675427,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.974,4.267,-3.982,0.00113999629,3.133160328e-06
67,686674,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.974,4.267,-3.982,-0.00113999629,3.133160328e-06
68,695934,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.976,4.267,-3.982,-0.00113999629,2.349870246e-06
69,705484,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.976,4.267,-3.982,-0.00113999629,2.349870246e-06
70,716315,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.976,4.267,-3.982,-0.00113999629,2.349870246e-06
71,726397,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.272,-3.98,4.267,-3.982,0.00569998145,7.83290082e-07
72,737286,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.272,-3.98,4.267,-3.982,0.00569998145,7.83290082e-07
73,746874,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.974,4.267,-3.982,-0.00113999629,3.133160328e-06
74,756727,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.975,4.267,-3.982,-0.00113999629,2.741515287e-06
75,765464,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.975,4.267,-3.982,0.00227999258,2.741515287e-06
76,776722,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.267,-3.975,4.267,-3.982,0,2.741515287e-06
77,789390,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.974,4.267,-3.982,0.00113999629,3.133160328e-06
78,795743,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.974,4.267,-3.982,0.00113999629,3.133160328e-06
79,806187,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.974,4.267,-3.982,0.00113999629,3.133160328e-06
80,816323,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.279,-3.979,4.267,-3.982,0.01367995548,1.174935123e-06
81,826022,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.279,-3.979,4.267,-3.982,0.01367995548,1.174935123e-06
82,839882,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.271,-3.975,4.267,-3.982,0.00455998516,2.741515287e-06
83,853198,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.977,4.267,-3.982,0.00797997403,1.958225205e-06
84,858149,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.977,4.267,-3.982,0.00797997403,1.958225205e-06
85,865486,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.977,4.267,-3.982,0.00797997403,1.958225205e-06
86,876933,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.982,4.267,-3.982,0.00797997403,0
87,886286,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.274,-3.982,4.267,-3.982,0.00797997403,0
88,897404,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.978,4.267,-3.982,0.00227999258,1.566580164e-06
89,906281,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.979,4.267,-3.982,0.00113999629,1.174935123e-06
90,915460,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.268,-3.979,4.267,-3.982,0.00113999629,1.174935123e-06
91,926674,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.266,-3.974,4.267,-3.982,-0.00113999629,3.133160328e-06
92,937251,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.266,-3.975,4.267,-3.982,-0.00113999629,2.741515287e-06
93,947062,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.266,-3.975,4.267,-3.982,-0.00113999629,2.741515287e-06
94,956323,1,1,-0.108,-2.383,-0.107,-2.386,-0.000701461986,5.581053495e-06,4.266,-3.975,4.267,-3.982,-0.00113999629,2.741515287e-06
95,966163,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.272,-3.977,4.267,-3.982,0.00569998145,1.958225205e-06
96,975490,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.272,-3.977,4.267,-3.982,0.00569998145,1.958225205e-06
97,986576,1,1,-0.108,-2.381,-0.107,-2.386,-0.000701461986,9.301755825e-06,4.267,-3.976,4.267,-3.982,0,2.349870246e-06
98,998181,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
99,1006219,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
100,1016112,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.269,-3.974,4.267,-3.982,0.00227999258,3.133160328e-06
101,1026250,1,1,-0.108,-2.382,-0.107,-2.386,-0.000701461986,7.44140466e-06,4.273,-3.976,4.267,-3.982,0.00683997774,2.349870246e-06
