frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,5453845166222,1821068,1,0
1,5453845716444,1838764,1,0
2,5453850142000,1864468,1,0
3,5453850479555,1889934,1,0
4,5453850798666,1906304,1,0
5,5453851151666,1927842,1,0
6,5453851488666,1952323,1,0
7,5453851811333,1974440,1,0
8,5453852135555,1990367,1,0
9,5453852463888,2015269,1,0
10,5453852811222,2028807,1,0
11,5453853146222,2039790,1,0
12,5453853487888,2051473,1,0
13,5453853862111,2064565,1,0
14,5453854134888,2087710,1,0
15,5453854483444,2121600,1,0
16,5453854822444,2158239,1,0
17,5453855157555,2190637,1,0
18,5453855473666,2230175,1,0
19,5453855851555,2256816,1,0
20,5453856142111,2293596,1,0
21,5453856492666,2360708,1,0
22,5453857139888,2440431,1,0
23,5453857139888,2458424,1,0
24,5453857139888,2471327,1,0
25,5453857821888,2490481,1,0
26,5453858149222,2507688,1,0
27,5453858499555,2528427,1,0
28,5453858813666,2560008,1,0
29,5453859144666,2593031,1,0
30,5453859498222,2625838,1,0
31,5453859814444,2657858,1,0
32,5453860153666,2696033,1,0
33,5453860522666,2725619,1,0
34,5453860821444,2760834,1,0
35,5453861154555,2796829,1,0
36,5453861498000,2827467,1,0
37,5453861825777,2873143,1,0
38,5453862154222,2894099,1,0
39,5453862484666,2928241,1,0
40,5453862821000,2963325,1,0
41,5453863151333,2995009,1,0
42,5453863488333,3029770,1,0
43,5453863824111,3156978,1,0
44,5453864150000,3173286,1,0
45,5453864486111,3188914,1,0
46,5453864818777,3201326,1,0
47,5453865170666,3213985,1,0
48,5453865487888,3227545,1,0
49,5453865819555,3255965,1,0
50,5453866168111,3287149,1,0
51,5453866489444,3324686,1,0
52,5453866859444,3355751,1,0
53,5453867168333,3386364,1,0
54,5453867495111,3424022,1,0
55,5453867850555,3454183,1,0
56,5453868157111,3488174,1,0
57,5453868500000,3523472,1,0
58,5453868865777,3554910,1,0
59,5453869159888,3591606,1,0
60,5453869501666,3625464,1,0
61,5453869828777,3660383,1,0
62,5453870170333,3694478,1,0
63,5453870502444,3725638,1,0
64,5453870833333,3760653,1,0
65,5453871165555,3792527,1,0
66,5453871506333,3826203,1,0
67,5453871830888,3859373,1,0
68,5453872180777,3892466,1,0
69,5453872495777,3926800,1,0
70,5453872829444,3962915,1,0
71,5453873202777,3993056,1,0
72,5453873503666,4025477,1,0
73,5453873823333,4060037,1,0
74,5453874177000,4091845,1,0
75,5453874505333,4128328,1,0
76,5453874856777,4160484,1,0
77,5453875166888,4191137,1,0
78,5453875492333,4226254,1,0
79,5453875855888,4257149,1,0
80,5453876168222,4289858,1,0
81,5453876510555,4323929,1,0
82,5453876866111,4353499,1,0
83,5453877165777,4388920,1,0
84,5453877504111,4420511,1,0
85,5453877830333,4456553,1,0
86,5453878162777,4489214,1,0
87,5453878521666,4519976,1,0
88,5453878832888,4553926,1,0
89,5453879165111,4589495,1,0
90,5453879526333,4621962,1,0
91,5453879841999,4656501,1,0
92,5453880162666,4691502,1,0
93,5453880501000,4726372,1,0
94,5453880842444,4761671,1,0
95,5453881191666,4793628,1,0
96,5453881513666,4827507,1,0
97,5453881845555,4861558,1,0
98,5453882168555,4892096,1,0
99,5453882499555,4926614,1,0
100,5453882840888,4962000,1,0
101,5453883183444,4993317,1,0
102,5453883503222,5026904,1,0
103,5453883834111,5061911,1,0
104,5453884184555,5095251,1,0
105,5453884514333,5127448,1,0
106,5453884849222,5160192,1,0
107,5453885178666,5194083,1,0
108,5453885512333,5225931,1,0
109,5453885837222,5262904,1,0
110,5453886182666,5294756,1,0
111,5453886507888,5328345,1,0
112,5453886844000,5361198,1,0
113,5453887183555,5394057,1,0
114,5453887506666,5429519,1,0
115,5453887872000,5463151,1,0
116,5453888185444,5496723,1,0
117,5453888522111,5532104,1,0
118,5453888871000,5564126,1,0
119,5453889172222,5595323,1,0
120,5453889521222,5629786,1,0
121,5453889864111,5662448,1,0
122,5453890190777,5695137,1,0
123,5453890512444,5729847,1,0
124,5453890843666,5762326,1,0
125,5453891187222,5801371,1,0
126,5453891540555,5832393,1,0
127,5453891861666,5861239,1,0
128,5453892191333,5901556,1,0
129,5453892530333,5930620,1,0
130,5453892840333,5962833,1,0
131,5453893182111,5994905,1,0
132,5453893520888,6029991,1,0
133,5453893850333,6068963,1,0
