frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,5457870445444,895670,1,0
1,5457870845333,911259,1,0
2,5457872845444,926878,1,0
3,5457873174666,939937,1,0
4,5457873512222,961457,1,0
5,5457873847777,976412,1,0
6,5457874174111,993915,1,0
7,5457874518000,1013169,1,0
8,5457874843888,1034188,1,0
9,5457875199333,1046757,1,0
10,5457875523666,1060712,1,0
11,5457875861666,1078491,1,0
12,5457876215222,1107168,1,0
13,5457876527444,1148146,1,0
14,5457876853666,1180324,1,0
15,5457877210111,1209374,1,0
16,5457877521666,1250145,1,0
17,5457877865777,1274012,1,0
18,5457878181000,1308713,1,0
19,5457878509888,1348722,1,0
20,5457878879333,1378609,1,0
21,5457879170444,1412311,1,0
22,5457879510888,1445239,1,0
23,5457879850555,1478240,1,0
24,5457880170666,1513378,1,0
25,5457880525888,1547824,1,0
26,5457880870777,1579798,1,0
27,5457881194222,1614917,1,0
28,5457881536444,1643949,1,0
29,5457881849222,1677998,1,0
30,5457882190555,1713061,1,0
31,5457882521222,1747733,1,0
32,5457882879888,1777326,1,0
33,5457883192222,1811947,1,0
34,5457883527111,1845049,1,0
35,5457883859666,1877617,1,0
36,5457884186000,1920701,1,0
37,5457884603111,1946825,1,0
38,5457884881777,1980127,1,0
39,5457885221222,2015011,1,0
40,5457885546888,2042339,1,0
41,5457885855000,2077118,1,0
42,5457886197444,2111461,1,0
43,5457886536222,2147207,1,0
44,5457886885666,2183431,1,0
45,5457887231333,2213135,1,0
46,5457887537666,2246380,1,0
47,5457887874222,2281803,1,0
48,5457888228888,2314865,1,0
49,5457888546444,2349362,1,0
50,5457888897222,2380759,1,0
51,5457889220333,2412652,1,0
52,5457889538555,2445950,1,0
53,5457889870000,2478136,1,0
54,5457890184888,2513381,1,0
55,5457890522444,2543955,1,0
56,5457890852555,2577381,1,0
57,5457891181111,2611838,1,0
58,5457891515444,2646722,1,0
59,5457891854444,2680787,1,0
60,5457892185888,2712079,1,0
61,5457892512444,2746415,1,0
62,5457892847333,2784572,1,0
63,5457893199666,2813368,1,0
64,5457893527000,2846248,1,0
65,5457893851111,2881333,1,0
66,5457894202333,2913055,1,0
67,5457894526000,2946393,1,0
68,5457894868111,2983991,1,0
69,5457895231777,3015719,1,0
70,5457895528444,3050610,1,0
71,5457895878444,3081489,1,0
72,5457896199444,3113582,1,0
73,5457896544444,3147956,1,0
74,5457896872888,3186221,1,0
75,5457897261777,3209834,1,0
