sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,5224,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.121,-3.976,0.12,-3.973,0.00113999629,-1.174935123e-06
1,14444,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.121,-3.976,0.12,-3.973,0.00113999629,-1.174935123e-06
2,29253,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.117,-3.968,0.12,-3.973,-0.00341998887,1.958225205e-06
3,35977,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.12,-3.972,0.12,-3.973,0,3.91645041e-07
4,44762,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.12,-3.972,0.12,-3.973,0,3.91645041e-07
5,55591,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.119,-3.968,0.12,-3.973,-0.00113999629,1.958225205e-06
6,65216,1,1,-0.031,-1.559,-0.031,-1.558,0,-1.860351165e-06,0.118,-3.974,0.12,-3.973,-0.00227999258,-3.91645041e-07
7,73645,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.118,-3.974,0.12,-3.973,-0.00227999258,-3.91645041e-07
8,84072,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.125,-3.975,0.12,-3.973,0.00569998145,-7.83290082e-07
9,93727,1,1,-0.031,-1.559,-0.031,-1.558,0,-1.860351165e-06,0.12,-3.972,0.12,-3.973,0,3.91645041e-07
10,104109,1,1,-0.031,-1.559,-0.031,-1.558,0,-1.860351165e-06,0.12,-3.972,0.12,-3.973,0,3.91645041e-07
11,114178,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.12,-3.972,0.12,-3.973,0,3.91645041e-07
12,124102,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.121,-3.976,0.12,-3.973,0.00113999629,-1.174935123e-06
13,134382,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.121,-3.976,0.12,-3.973,0.00113999629,-1.174935123e-06
14,144385,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.118,-3.97,0.12,-3.973,-0.00227999258,1.174935123e-06
15,154581,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.121,-3.972,0.12,-3.973,0.00113999629,3.91645041e-07
16,168381,1,1,-0.031,-1.557,-0.031,-1.558,0,1.860351165e-06,0.121,-3.972,0.12,-3.973,0.00113999629,3.91645041e-07
17,175331,1,1,-0.031,-1.559,-0.031,-1.558,0,-1.860351165e-06,0.119,-3.97,0.12,-3.973,-0.00113999629,1.174935123e-06
18,184437,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.123,-3.976,0.12,-3.973,0.00341998887,-1.174935123e-06
19,197120,1,1,-0.031,-1.558,-0.031,-1.558,0,0,0.123,-3.976,0.12,-3.973,0.00341998887,-1.174935123e-06
