sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,5224,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
1,29253,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
2,44762,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
3,65216,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
4,84072,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
5,104109,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
6,124102,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
7,144385,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
8,168381,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
9,184437,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
10,205360,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
11,227880,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
12,244487,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
13,265372,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
14,284295,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
15,304592,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
16,324162,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
17,344098,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
18,368364,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
19,383565,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
20,406626,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
21,425587,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
22,444253,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
23,468529,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
24,484865,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
25,504763,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
26,526431,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
27,544132,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
28,566686,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
29,584955,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
30,604032,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
31,626348,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
32,646566,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
33,668285,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
34,685796,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
35,703638,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
36,724399,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
37,744208,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
38,768199,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
39,784191,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
40,804074,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
41,824128,1,19.57845,-707.159396,626.5783308,0,631.5783676,639.9999067,-7.351760234,1,0.03538789566,0.03538789566,0.1138364713,0.1138364713,1,-0.06876543948,-0.06876543948,5.664204222,5.664204222
