frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,4171003507444,3933064,1,0
1,4171004181666,3950608,1,0
2,4171015532666,3967051,1,0
3,4171015850333,3985637,1,0
4,4171016226777,4004819,1,0
5,4171016595555,4024908,1,0
6,4171016891888,4049243,1,0
7,4171017205888,4078154,1,0
8,4171017547000,4099826,1,0
9,4171017860111,4124213,1,0
10,4171018226777,4146819,1,0
11,4171018536444,4171308,1,0
12,4171018882111,4200029,1,0
13,4171019208888,4225711,1,0
14,4171019558444,4246270,1,0
15,4171019879666,4264649,1,0
16,4171020206111,4283167,1,0
17,4171020534111,4315216,1,0
18,4171020864222,4349346,1,0
19,4171021224444,4381036,1,0
20,4171021533666,4418435,1,0
21,4171021869666,4452167,1,0
22,4171022199666,4481794,1,0
23,4171022545555,4520187,1,0
24,4171022879444,4548126,1,0
25,4171023207111,4581954,1,0
26,4171023543111,4616907,1,0
27,4171023875666,4654397,1,0
28,4171024207333,4684306,1,0
29,4171024539777,4721200,1,0
30,4171024922222,4751643,1,0
31,4171025204222,4783543,1,0
32,4171025542000,4816146,1,0
33,4171025878777,4851884,1,0
34,4171026199000,4884497,1,0
35,4171026540333,4917123,1,0
36,4171026871555,4951453,1,0
37,4171027225111,4984206,1,0
38,4171027552888,5017086,1,0
39,4171027871222,5052361,1,0
40,4171028204555,5085672,1,0
41,4171028532222,5119088,1,0
42,4171028876666,5151900,1,0
43,4171029229444,5182954,1,0
44,4171029547333,5216393,1,0
45,4171029874444,5251670,1,0
46,4171030222666,5283653,1,0
47,4171030542777,5318276,1,0
48,4171030883888,5351952,1,0
49,4171031223444,5385109,1,0
50,4171031544777,5422669,1,0
51,4171031897333,5453716,1,0
52,4171032206333,5484575,1,0
53,4171032552222,5520606,1,0
54,4171032882777,5554179,1,0
55,4171033223222,5586802,1,0
56,4171033552222,5616909,1,0
57,4171033887666,5650728,1,0
58,4171034213888,5685769,1,0
59,4171034557111,5717921,1,0
60,4171034885333,5748822,1,0
61,4171035217888,5785146,1,0
62,4171035563111,5820728,1,0
63,4171035885000,5854994,1,0
64,4171036214777,5890788,1,0
65,4171036576000,5917832,1,0
66,4171036896111,5952792,1,0
67,4171037241111,5985497,1,0
68,4171037556444,6019677,1,0
69,4171037886000,6056347,1,0
70,4171038233222,6087276,1,0
71,4171038557666,6118531,1,0
72,4171038894555,6150261,1,0
73,4171039227111,6183096,1,0
74,4171039557222,6216116,1,0
75,4171039885444,6252551,1,0
76,4171040228666,6286897,1,0
77,4171040551888,6316611,1,0
78,4171040885000,6350999,1,0
