sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,5611,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
1,13918,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
2,22300,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
3,47906,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
4,56166,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
5,64793,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
6,72243,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
7,85014,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
8,92379,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
9,102293,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
10,112315,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
11,121729,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
12,131918,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
13,150493,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
14,159209,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
15,167623,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
16,175897,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
17,197926,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
18,205334,1,0,0.102,-1.26,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN
