sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,13918,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
1,47906,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
2,64793,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
3,85014,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
4,102293,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
5,121729,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
6,150493,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
7,167623,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
8,197926,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
9,213447,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
10,232381,1,24.34941477,0.2139781302,631.3494506,0,636.3496425,640.0000618,0,1,-0.03226543428,-0.03226543428,1.074355025,1.074355025,1,-0.01388711135,-0.01388711135,1.298295624,1.298295624
