sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,414,1,21.03818345,-309.3287013,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
1,23375,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
2,40746,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
3,60739,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
4,80357,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
5,100443,1,21.03818345,-309.3287013,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
6,123195,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
7,144831,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
8,160977,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
9,181143,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
10,203028,1,21.03818345,-309.3287013,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
11,223911,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
12,240764,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
13,260846,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
14,280544,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
15,302793,1,21.03818345,-309.3287013,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
16,323956,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
17,340277,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
18,361054,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
19,380725,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
20,403967,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
21,424160,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
22,440498,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
23,460767,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
24,480224,1,21.03818345,-309.32934,635.0003352,0,640.0011475,642.6698293,57.58107083,1,-0.01541269751,-0.01541269751,6.433626798,6.433626798,1,-0.008012891766,-0.008012891766,0.3407629451,0.3407629451
