frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,4935444990777,1733151,1,0
1,4935445493000,1749581,1,0
2,4935450923222,1770376,1,0
3,4935451253888,1798649,1,0
4,4935451587000,1833882,1,0
5,4935451951777,1856976,1,0
6,4935452242555,1888592,1,0
7,4935452581555,1911520,1,0
8,4935452915000,1935926,1,0
9,4935453236111,1953355,1,0
10,4935453607111,1973319,1,0
11,4935453921111,1991661,1,0
12,4935454260777,2007259,1,0
13,4935454586111,2023625,1,0
14,4935454918555,2036678,1,0
15,4935455246111,2056601,1,0
16,4935455596222,2093602,1,0
17,4935455927777,2129481,1,0
18,4935456255111,2163209,1,0
19,4935456604777,2194904,1,0
20,4935456911000,2228472,1,0
21,4935457251222,2263074,1,0
22,4935457593111,2296365,1,0
23,4935457928666,2333836,1,0
24,4935458283222,2363132,1,0
25,4935458585888,2395293,1,0
26,4935458915333,2431642,1,0
27,4935459259777,2464147,1,0
28,4935459592111,2499908,1,0
29,4935459929555,2536367,1,0
30,4935460338777,2562998,1,0
31,4935460588666,2597834,1,0
32,4935460943666,2630824,1,0
33,4935461259555,2662093,1,0
34,4935461592444,2693744,1,0
35,4935461915777,2726512,1,0
36,4935462252111,2760036,1,0
37,4935462594333,2797339,1,0
38,4935462930222,2831507,1,0
39,4935463269444,2864766,1,0
40,4935463623888,2896464,1,0
41,4935463915888,2932939,1,0
42,4935464266666,2967809,1,0
43,4935464608666,2996665,1,0
44,4935464919222,3032630,1,0
45,4935465262222,3064877,1,0
46,4935465596111,3093823,1,0
47,4935465918111,3127122,1,0
48,4935466261111,3165137,1,0
49,4935466603888,3195334,1,0
50,4935466936777,3229505,1,0
51,4935467264888,3260957,1,0
52,4935467587000,3298395,1,0
53,4935467930777,3328344,1,0
54,4935468281555,3359970,1,0
55,4935468601777,3399969,1,0
56,4935468938777,3428396,1,0
57,4935469261222,3461878,1,0
58,4935469613111,3495349,1,0
59,4935469964777,3526895,1,0
60,4935470288444,3557600,1,0
61,4935470600555,3592809,1,0
62,4935470936000,3625434,1,0
63,4935471274555,3660989,1,0
64,4935471620222,3694959,1,0
65,4935471959000,3728456,1,0
66,4935472268666,3758026,1,0
67,4935472611111,3793226,1,0
68,4935472936111,3825840,1,0
69,4935473278000,3860694,1,0
70,4935473614888,3891041,1,0
71,4935473942777,3924353,1,0
72,4935474276888,3961876,1,0
73,4935474628666,3990320,1,0
74,4935474926555,4024740,1,0
75,4935475278000,4060335,1,0
76,4935475626888,4095814,1,0
77,4935475933888,4125698,1,0
78,4935476271888,4162704,1,0
79,4935476611222,4196101,1,0
80,4935476930222,4230808,1,0
81,4935477267777,4262514,1,0
82,4935477610777,4296017,1,0
83,4935477942666,4328296,1,0
84,4935478263666,4365677,1,0
85,4935478605888,4401338,1,0
86,4935478928444,4436416,1,0
87,4935479291888,4465165,1,0
88,4935479603777,4502139,1,0
89,4935479956444,4537481,1,0
90,4935480283555,4568241,1,0
91,4935480598555,4602092,1,0
92,4935480973111,4640860,1,0
93,4935481316444,4661574,1,0
94,4935481614222,4695258,1,0
95,4935481951666,4731068,1,0
96,4935482287777,4759969,1,0
97,4935482620000,4799397,1,0
98,4935482953000,4827549,1,0
99,4935483286888,4859991,1,0
100,4935483609222,4893133,1,0
101,4935483950000,4924536,1,0
102,4935484272777,4959464,1,0
103,4935484609888,4994380,1,0
104,4935484948111,5026475,1,0
105,4935485270000,5059336,1,0
106,4935485617666,5094314,1,0
107,4935485966777,5127819,1,0
108,4935486306222,5162615,1,0
109,4935486624333,5194637,1,0
110,4935486961000,5224391,1,0
111,4935487273222,5261882,1,0
112,4935487633555,5294406,1,0
113,4935487966777,5327604,1,0
114,4935488289444,5360747,1,0
115,4935488631333,5394847,1,0
116,4935488955666,5427946,1,0
117,4935489289555,5470354,1,0
118,4935489637888,5496336,1,0
119,4935489963666,5530404,1,0
120,4935490275666,5563698,1,0
121,4935490640000,5596590,1,0
122,4935490961111,5627933,1,0
123,4935491286222,5672629,1,0
124,4935491668777,5696008,1,0
125,4935491944444,5730853,1,0
126,4935492282777,5763047,1,0
127,4935492636111,5794733,1,0
128,4935492945000,5830073,1,0
129,4935493277333,5864064,1,0
130,4935493622333,5898910,1,0
131,4935493963888,5940019,1,0
132,4935494298333,5971493,1,0
133,4935494646444,5999733,1,0
134,4935494951111,6033413,1,0
135,4935495297555,6070280,1,0
136,4935495630444,6106017,1,0
137,4935495987777,6129636,1,0
138,4935496290222,6163960,1,0
139,4935496632222,6196765,1,0
140,4935496955666,6231249,1,0
141,4935497298444,6262917,1,0
142,4935497651444,6299614,1,0
143,4935497967444,6328377,1,0
144,4935498291777,6364602,1,0
145,4935498637222,6395584,1,0
146,4935498960777,6431326,1,0
147,4935499303888,6469019,1,0
148,4935499678000,6497486,1,0
149,4935499952444,6530696,1,0
150,4935500291333,6567217,1,0
151,4935500667444,6600887,1,0
152,4935500967000,6629001,1,0
153,4935501287000,6665081,1,0
154,4935501637222,6696034,1,0
155,4935501962444,6737970,1,0
156,4935502327333,6767567,1,0
157,4935502640000,6796547,1,0
158,4935502971000,6831795,1,0
159,4935503292666,6866690,1,0
160,4935503648777,6901078,1,0
161,4935503970777,6931127,1,0
162,4935504294222,6971085,1,0
163,4935504652000,7000388,1,0
164,4935504959444,7035448,1,0
165,4935505292888,7069108,1,0
166,4935505649000,7100366,1,0
167,4935505959666,7132848,1,0
168,4935506301444,7164192,1,0
169,4935506639000,7200348,1,0
170,4935506965777,7228884,1,0
171,4935507309666,7264391,1,0
172,4935507641444,7304010,1,0
173,4935508019888,7330251,1,0
174,4935508301111,7362595,1,0
175,4935508638666,7397494,1,0
176,4935508999111,7434793,1,0
177,4935509312777,7468476,1,0
178,4935509665444,7502492,1,0
179,4935510007555,7529368,1,0
180,4935510308222,7571674,1,0
181,4935510656888,7600433,1,0
182,4935510972888,7628609,1,0
183,4935511314888,7663295,1,0
184,4935511650111,7700227,1,0
185,4935511971888,7729866,1,0
186,4935512309333,7764079,1,0
187,4935512665555,7800724,1,0
188,4935512978222,7829290,1,0
189,4935513315555,7864029,1,0
190,4935513655444,7896402,1,0
191,4935513987444,7929606,1,0
192,4935514303888,7962835,1,0
193,4935514655444,7994733,1,0
194,4935514979555,8031146,1,0
195,4935515329333,8066417,1,0
196,4935515640000,8097697,1,0
197,4935515977111,8129493,1,0
198,4935516307333,8166054,1,0
199,4935516643000,8199064,1,0
200,4935517000111,8237968,1,0
201,4935517340000,8270972,1,0
202,4935517643111,8300613,1,0
203,4935517993444,8335636,1,0
204,4935518321333,8366968,1,0
205,4935518660222,8405351,1,0
206,4935518985888,8430282,1,0
207,4935519307333,8465614,1,0
208,4935519657444,8500522,1,0
209,4935519974444,8532593,1,0
210,4935520304666,8566589,1,0
211,4935520652000,8602581,1,0
212,4935520985666,8639148,1,0
213,4935521322555,8671827,1,0
214,4935521674000,8701916,1,0
215,4935521978222,8732320,1,0
216,4935522318888,8768628,1,0
217,4935522656333,8801383,1,0
218,4935522977333,8836746,1,0
219,4935523328888,8862590,1,0
220,4935523657666,8903980,1,0
221,4935523992888,8935650,1,0
222,4935524321888,8968862,1,0
223,4935524690666,9008684,1,0
224,4935524985666,9035418,1,0
225,4935525335666,9069320,1,0
226,4935525687000,9097015,1,0
227,4935525990222,9134613,1,0
228,4935526327444,9170141,1,0
229,4935526671555,9197561,1,0
230,4935526998333,9230233,1,0
231,4935527319777,9265531,1,0
232,4935527688777,9296996,1,0
233,4935527991444,9332117,1,0
234,4935528327000,9364794,1,0
235,4935528661333,9403861,1,0
236,4935529001222,9434529,1,0
237,4935529332222,9465195,1,0
238,4935529667888,9496953,1,0
239,4935530000000,9535159,1,0
240,4935530325000,9570356,1,0
241,4935530663000,9597636,1,0
242,4935531002333,9640798,1,0
243,4935531335777,9673124,1,0
244,4935531709111,9703711,1,0
245,4935532005888,9741487,1,0
246,4935532316333,9772397,1,0
247,4935532671222,9804217,1,0
248,4935533006333,9839387,1,0
249,4935533339666,9872460,1,0
250,4935533684666,9909263,1,0
251,4935534026111,9937423,1,0
252,4935534330222,9973633,1,0
253,4935534687666,10003389,1,0
254,4935534999222,10037229,1,0
255,4935535329555,10068492,1,0
256,4935535668000,10101534,1,0
257,4935535994444,10135781,1,0
258,4935536339555,10170325,1,0
259,4935536672000,10203541,1,0
260,4935537003777,10235928,1,0
261,4935537334111,10277302,1,0
262,4935537693000,10303068,1,0
263,4935538008666,10339319,1,0
264,4935538365111,10366952,1,0
265,4935538675000,10398183,1,0
266,4935538996444,10433552,1,0
267,4935539327555,10466534,1,0
268,4935539683888,10499344,1,0
269,4935540002000,10540415,1,0
270,4935540349666,10572214,1,0
271,4935540683222,10605437,1,0
272,4935541024111,10633811,1,0
273,4935541323888,10671036,1,0
274,4935541666222,10702051,1,0
275,4935542007888,10733417,1,0
276,4935542346444,10767941,1,0
277,4935542677777,10802950,1,0
278,4935543007222,10836618,1,0
279,4935543345222,10872530,1,0
280,4935543701888,10907020,1,0
281,4935544020222,10936491,1,0
282,4935544369555,10968283,1,0
283,4935544682555,11008591,1,0
284,4935545006222,11034807,1,0
285,4935545360444,11065765,1,0
286,4935545670333,11100215,1,0
287,4935546021555,11130195,1,0
288,4935546340777,11165800,1,0
289,4935546678222,11199855,1,0
290,4935547029777,11232505,1,0
291,4935547345000,11263198,1,0
292,4935547671222,11298849,1,0
293,4935548031000,11333257,1,0
294,4935548355444,11367595,1,0
295,4935548684333,11400897,1,0
296,4935549039000,11435597,1,0
297,4935549348555,11465364,1,0
298,4935549687222,11498863,1,0
299,4935550024222,11535825,1,0
300,4935550363777,11567787,1,0
301,4935550704222,11599634,1,0
302,4935551024777,11635778,1,0
303,4935551379666,11673835,1,0
