sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,8178,1,1,2.933,-2,0,0,0.9371504853,-0.00372070233,0.597,-1.243,0.597,-1.202,0,-1.605744668e-05
1,16641,1,1,2.934,-2.002,0,0,0.9374700047,-0.003724423032,0.603,-1.238,0.597,-1.202,0.00683997774,-1.409922148e-05
2,26029,1,1,2.934,-2.002,0,0,0.9374700047,-0.003724423032,0.599,-1.237,0.597,-1.202,0.00227999258,-1.370757644e-05
3,35461,1,1,2.934,-2.002,0,0,0.9374700047,-0.003724423032,0.599,-1.237,0.597,-1.202,0.00227999258,-1.370757644e-05
4,45464,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.602,-1.238,0.597,-1.202,0.00569998145,-1.409922148e-05
5,55854,1,1,2.937,-2.002,0,0,0.938428563,-0.003724423032,0.594,-1.244,0.597,-1.202,-0.00341998887,-1.644909172e-05
6,66234,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.594,-1.244,0.597,-1.202,-0.00341998887,-1.644909172e-05
7,76112,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.602,-1.239,0.597,-1.202,0.00569998145,-1.449086652e-05
8,85509,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.598,-1.237,0.597,-1.202,0.00113999629,-1.370757644e-05
9,95515,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.598,-1.237,0.597,-1.202,0.00113999629,-1.370757644e-05
10,106904,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.602,-1.241,0.597,-1.202,0.00569998145,-1.52741566e-05
11,116266,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.593,-1.237,0.597,-1.202,-0.00455998516,-1.370757644e-05
12,126137,1,1,2.932,-2.001,0,0,0.9368309658,-0.003722562681,0.593,-1.237,0.597,-1.202,-0.00455998516,-1.370757644e-05
13,136017,1,1,2.931,-2.001,0,0,0.9365114464,-0.003722562681,0.598,-1.243,0.597,-1.202,0.00113999629,-1.605744668e-05
14,145415,1,1,2.929,-2.002,0,0,0.9358724075,-0.003724423032,0.6,-1.238,0.597,-1.202,0.00341998887,-1.409922148e-05
15,155812,1,1,2.929,-2.002,0,0,0.9358724075,-0.003724423032,0.6,-1.238,0.597,-1.202,0.00341998887,-1.409922148e-05
16,166174,1,1,2.929,-2.002,0,0,0.9358724075,-0.003724423032,0.602,-1.239,0.597,-1.202,0.00569998145,-1.449086652e-05
17,176055,1,1,2.929,-2.002,0,0,0.9358724075,-0.003724423032,0.589,-1.238,0.597,-1.202,-0.00911997032,-1.409922148e-05
18,185468,1,1,2.929,-2.002,0,0,0.9358724075,-0.003724423032,0.589,-1.238,0.597,-1.202,-0.00911997032,-1.409922148e-05
19,195434,1,1,2.928,-2.002,0,0,0.9355528881,-0.003724423032,0.6,-1.245,0.597,-1.202,0.00341998887,-1.684073676e-05
