sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,8178,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
1,26029,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
2,45464,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
3,66234,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
4,85509,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
5,106904,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
6,126137,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
7,145415,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
8,166174,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
9,185468,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
10,207048,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
11,226699,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
12,246151,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
13,266223,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
14,286083,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
15,306979,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
16,326176,1,23.78735845,-0.6317145397,606.1141458,0,611.1109256,614.2594646,46.39408332,1,-0.05094317132,-0.05094317132,1.203120869,1.203120869,1,-0.005147071045,-0.005147071045,-0.1791524794,-0.1791524794
