frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,19155743555,1146501,1,0
1,19156121666,1164112,1,0
2,19159928888,1178520,1,0
3,19160251444,1196952,1,0
4,19160590666,1215842,1,0
5,19160923888,1230116,1,0
6,19161259222,1247106,1,0
7,19161595777,1265264,1,0
8,19161938666,1282953,1,0
9,19162262777,1301144,1,0
10,19162613777,1315205,1,0
11,19162942333,1326921,1,0
12,19163276555,1362800,1,0
13,19163594000,1395851,1,0
14,19163935555,1429266,1,0
15,19164252111,1463917,1,0
16,19164600777,1497525,1,0
17,19164933222,1529997,1,0
18,19165265333,1563033,1,0
19,19165603333,1596631,1,0
20,19165943000,1628839,1,0
21,19166262888,1660559,1,0
22,19166592666,1694969,1,0
23,19166923333,1727937,1,0
24,19167268666,1760223,1,0
25,19167594777,1794345,1,0
26,19167929444,1827467,1,0
27,19168266111,1860924,1,0
28,19168596888,1894316,1,0
29,19168939222,1927272,1,0
30,19169260111,1961722,1,0
31,19169607444,1996033,1,0
32,19169959444,2027088,1,0
33,19170270000,2061997,1,0
34,19170595888,2097269,1,0
35,19170945000,2128453,1,0
36,19171268111,2169808,1,0
37,19171675000,2196189,1,0
38,19171928444,2228167,1,0
39,19172267888,2261487,1,0
40,19172600333,2294836,1,0
41,19172938333,2327642,1,0
42,19173261222,2362999,1,0
43,19173596111,2398513,1,0
44,19173975888,2430277,1,0
45,19174265555,2462467,1,0
46,19174598555,2495038,1,0
47,19174937888,2530065,1,0
48,19175270111,2562432,1,0
49,19175599333,2597689,1,0
50,19175945000,2630615,1,0
51,19176271222,2665564,1,0
52,19176606333,2699396,1,0
53,19176951666,2730406,1,0
54,19177272444,2767255,1,0
55,19177619222,2809337,1,0
56,19177996666,2831423,1,0
57,19178263555,2864823,1,0
58,19178620444,2898913,1,0
59,19178948111,2931308,1,0
60,19179283888,2964824,1,0
61,19179614111,2997433,1,0
62,19179952888,3030616,1,0
63,19180270555,3064997,1,0
64,19180613333,3097857,1,0
65,19180943777,3130687,1,0
66,19181268555,3162757,1,0
67,19181604777,3199200,1,0
68,19181960444,3231469,1,0
69,19182286111,3264818,1,0
70,19182613444,3297659,1,0
71,19182941444,3330009,1,0
72,19183277444,3366286,1,0
73,19183633000,3397950,1,0
74,19183950444,3434777,1,0
75,19184327888,3462063,1,0
76,19184616111,3496577,1,0
77,19184947333,3530829,1,0
78,19185286111,3563781,1,0
79,19185622888,3597455,1,0
80,19185959222,3628365,1,0
81,19186276222,3664243,1,0
82,19186614000,3698491,1,0
83,19186958888,3732523,1,0
84,19187287888,3766957,1,0
85,19187634888,3797918,1,0
86,19187948000,3830734,1,0
87,19188275777,3865564,1,0
88,19188619888,3898107,1,0
89,19188951444,3931662,1,0
90,19189282888,3965167,1,0
91,19189611333,4000335,1,0
92,19189974444,4031773,1,0
93,19190286777,4066119,1,0
94,19190629111,4100544,1,0
95,19190957666,4135185,1,0
96,19191313555,4169889,1,0
97,19191667333,4199157,1,0
98,19191950000,4233016,1,0
99,19192289333,4265710,1,0
100,19192625000,4299770,1,0
101,19192960000,4333349,1,0
102,19193296888,4367945,1,0
103,19193624777,4399888,1,0
104,19193972333,4433129,1,0
105,19194291666,4466797,1,0
106,19194637333,4499529,1,0
107,19194958222,4532992,1,0
108,19195304111,4565183,1,0
109,19195618333,4598908,1,0
110,19195960444,4632361,1,0
111,19196291444,4666759,1,0
112,19196626000,4699278,1,0
113,19196956222,4736702,1,0
114,19197332888,4766848,1,0
115,19197629000,4801671,1,0
116,19197971000,4831835,1,0
117,19198293222,4865960,1,0
118,19198628333,4902059,1,0
119,19198987333,4933196,1,0
120,19199290888,4966909,1,0
121,19199634666,5000513,1,0
122,19199971000,5032538,1,0
123,19200291555,5067026,1,0
124,19200633888,5100407,1,0
125,19200968888,5134511,1,0
126,19201298333,5166385,1,0
127,19201631666,5201269,1,0
128,19201972555,5233244,1,0
129,19202305111,5266379,1,0
130,19202637222,5301898,1,0
131,19202970000,5337082,1,0
132,19203298000,5368376,1,0
133,19203647000,5400132,1,0
134,19203970777,5433461,1,0
135,19204300444,5467104,1,0
136,19204637333,5500907,1,0
137,19204965777,5537943,1,0
138,19205334000,5604333,1,0
139,19205989222,5680022,1,0
140,19205989222,5691387,1,0
141,19205989222,5702158,1,0
142,19206635777,5719743,1,0
143,19206966000,5736716,1,0
144,19207336222,5768048,1,0
145,19207640000,5800889,1,0
146,19207979222,5837031,1,0
147,19208317444,5867300,1,0
148,19208636444,5902729,1,0
149,19208988777,5933522,1,0
150,19209308777,5968174,1,0
151,19209642444,6002835,1,0
152,19209988777,6033389,1,0
153,19210309888,6069262,1,0
154,19210649333,6101542,1,0
155,19210986000,6132328,1,0
156,19211296666,6169594,1,0
157,19211656222,6201750,1,0
158,19211986777,6235554,1,0
159,19212306888,6267827,1,0
160,19212644000,6335915,1,0
161,19213312888,6413080,1,0
162,19213312888,6424262,1,0
163,19213312888,6435123,1,0
164,19213995666,6450799,1,0
165,19214315888,6472096,1,0
166,19214657888,6501732,1,0
167,19214979333,6536241,1,0
168,19215313111,6568093,1,0
169,19215650888,6607001,1,0
170,19216029555,6636006,1,0
171,19216309222,6668871,1,0
172,19216659333,6702156,1,0
173,19216981555,6736309,1,0
174,19217313444,6770167,1,0
175,19217655111,6801598,1,0
176,19217990777,6833904,1,0
177,19218311666,6869835,1,0
178,19218652888,6901224,1,0
179,19218983333,6935467,1,0
180,19219314777,6970334,1,0
181,19219661444,7002714,1,0
182,19219986444,7035036,1,0
183,19220315777,7069510,1,0
184,19220659888,7100865,1,0
185,19220978111,7136377,1,0
186,19221314444,7170819,1,0
187,19221670111,7202337,1,0
188,19221993888,7235697,1,0
189,19222324222,7269412,1,0
190,19222655777,7304163,1,0
191,19222995333,7335211,1,0
192,19223312333,7368706,1,0
193,19223655333,7401761,1,0
194,19223981666,7437342,1,0
195,19224340333,7469938,1,0
196,19224659000,7501744,1,0
197,19224990666,7536455,1,0
198,19225326333,7567511,1,0
199,19225649777,7603352,1,0
200,19225995000,7635613,1,0
201,19226324333,7669741,1,0
202,19226666111,7704803,1,0
203,19226996444,7738038,1,0
204,19227339222,7769838,1,0
205,19227658444,7804483,1,0
206,19227999888,7842617,1,0
207,19228338555,7874043,1,0
208,19228695555,7904456,1,0
209,19228999888,7937228,1,0
210,19229323111,7971673,1,0
211,19229676666,8002391,1,0
212,19229997333,8036811,1,0
213,19230328333,8070940,1,0
214,19230672444,8102318,1,0
215,19230990000,8134993,1,0
216,19231323555,8172338,1,0
217,19231660555,8203147,1,0
218,19231995777,8237165,1,0
219,19232330555,8272514,1,0
220,19232689333,8304633,1,0
221,19233005777,8336966,1,0
222,19233340000,8369843,1,0
223,19233669111,8402953,1,0
224,19233996222,8436000,1,0
225,19234336333,8470283,1,0
226,19234667333,8503904,1,0
227,19235007555,8536725,1,0
228,19235334888,8573973,1,0
229,19235688555,8603962,1,0
230,19236000444,8635757,1,0
231,19236327777,8671557,1,0
232,19236677888,8709502,1,0
233,19237045333,8739537,1,0
234,19237352333,8772840,1,0
235,19237671555,8805252,1,0
236,19238012444,8838008,1,0
237,19238342666,8873136,1,0
238,19238690777,8903049,1,0
239,19239001444,8935420,1,0
240,19239331666,8971488,1,0
241,19239675777,9003504,1,0
242,19240004888,9036722,1,0
243,19240332888,9070016,1,0
244,19240666666,9104759,1,0
245,19241005555,9137618,1,0
246,19241340444,9169803,1,0
247,19241668777,9205640,1,0
248,19242010333,9236934,1,0
249,19242336333,9270274,1,0
250,19242670333,9305422,1,0
251,19243017444,9340678,1,0
252,19243363444,9371612,1,0
253,19243680444,9406553,1,0
254,19244022555,9437690,1,0
255,19244351111,9472091,1,0
256,19244679000,9504792,1,0
257,19245014777,9543728,1,0
258,19245404777,9570232,1,0
259,19245669111,9605192,1,0
260,19246020444,9638164,1,0
261,19246345888,9674043,1,0
262,19246684333,9704987,1,0
263,19247013888,9739398,1,0
264,19247351000,9771650,1,0
265,19247687888,9806916,1,0
266,19248017888,9837809,1,0
267,19248345444,9871038,1,0
268,19248675777,9907533,1,0
269,19249022222,9937856,1,0
270,19249347888,9972415,1,0
271,19249686222,10004946,1,0
272,19250017888,10041233,1,0
273,19250354777,10073236,1,0
274,19250681777,10106841,1,0
275,19251017888,10139698,1,0
