sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,4747,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.993,0.592,2.993,0.00113999629,0
1,14582,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.993,0.592,2.993,0.00113999629,0
2,24623,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.993,0.592,2.993,0.00113999629,0
3,37380,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
4,44502,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.591,2.992,0.592,2.993,-0.00113999629,-3.91645041e-07
5,54385,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.591,2.992,0.592,2.993,-0.00113999629,-3.91645041e-07
6,64269,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.991,0.592,2.993,0.00113999629,-7.83290082e-07
7,74654,1,1,1.179,-1.108,1.166,-1.107,0.004153752577,-1.860351165e-06,0.593,2.991,0.592,2.993,0.00113999629,-7.83290082e-07
8,84562,1,1,1.179,-1.108,1.166,-1.107,0.004153752577,-1.860351165e-06,0.593,2.991,0.592,2.993,0.00113999629,-7.83290082e-07
9,94555,1,1,1.181,-1.109,1.166,-1.107,0.004792791435,-3.72070233e-06,0.589,2.993,0.592,2.993,-0.00341998887,0
10,104700,1,1,1.174,-1.107,1.166,-1.107,0.002556155432,0,0.592,2.993,0.592,2.993,0,0
11,114581,1,1,1.174,-1.107,1.166,-1.107,0.002556155432,0,0.592,2.993,0.592,2.993,0,0
12,124517,1,1,1.174,-1.107,1.166,-1.107,0.002556155432,0,0.593,2.992,0.592,2.993,0.00113999629,-3.91645041e-07
13,137071,1,1,1.174,-1.107,1.166,-1.107,0.002556155432,0,0.595,2.992,0.592,2.993,0.00341998887,-3.91645041e-07
14,144279,1,1,1.174,-1.107,1.166,-1.107,0.002556155432,0,0.595,2.992,0.592,2.993,0.00341998887,-3.91645041e-07
15,154682,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.587,2.993,0.592,2.993,-0.00569998145,0
16,164862,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.99,0.592,2.993,0.00113999629,-1.174935123e-06
17,174880,1,1,1.179,-1.107,1.166,-1.107,0.004153752577,0,0.593,2.99,0.592,2.993,0.00113999629,-1.174935123e-06
18,184288,1,1,1.179,-1.107,1.166,-1.107,0.004153752577,0,0.592,2.992,0.592,2.993,0,-3.91645041e-07
19,194653,1,1,1.179,-1.107,1.166,-1.107,0.004153752577,0,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
20,204547,1,1,1.179,-1.107,1.166,-1.107,0.004153752577,0,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
21,214773,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.59,2.991,0.592,2.993,-0.00227999258,-7.83290082e-07
22,224573,1,1,1.179,-1.108,1.166,-1.107,0.004153752577,-1.860351165e-06,0.594,2.99,0.592,2.993,0.00227999258,-1.174935123e-06
23,237197,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.594,2.99,0.592,2.993,0.00227999258,-1.174935123e-06
24,244334,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.992,0.592,2.993,0.00113999629,-3.91645041e-07
25,253732,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.595,2.992,0.592,2.993,0.00341998887,-3.91645041e-07
26,264587,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.595,2.992,0.592,2.993,0.00341998887,-3.91645041e-07
27,274472,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.59,2.993,0.592,2.993,-0.00227999258,0
28,284349,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.99,0.592,2.993,0.00113999629,-1.174935123e-06
29,293752,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.99,0.592,2.993,0.00113999629,-1.174935123e-06
30,304605,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.594,2.992,0.592,2.993,0.00227999258,-3.91645041e-07
31,314889,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.992,0.592,2.993,0.00113999629,-3.91645041e-07
32,324640,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.593,2.992,0.592,2.993,0.00113999629,-3.91645041e-07
33,337338,1,1,1.18,-1.109,1.166,-1.107,0.004473272006,-3.72070233e-06,0.594,2.993,0.592,2.993,0.00227999258,0
34,344893,1,1,1.179,-1.109,1.166,-1.107,0.004153752577,-3.72070233e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
35,354281,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
36,364664,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
37,374552,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
38,384470,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
39,394370,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
40,404268,1,1,1.18,-1.108,1.166,-1.107,0.004473272006,-1.860351165e-06,0.594,2.991,0.592,2.993,0.00227999258,-7.83290082e-07
