sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,14582,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
1,37380,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
2,54385,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
3,74654,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
4,94555,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
5,114581,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
6,137071,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
7,154682,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
8,174880,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
9,194653,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
10,214773,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
11,237197,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
12,253732,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
13,274472,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
14,293752,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
15,314889,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
16,337338,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
17,354281,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
18,374552,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
19,394370,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
20,414511,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
21,435388,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
22,454545,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
23,474291,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
24,494505,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
25,514591,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
26,537489,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
27,554539,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
28,574419,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
29,593740,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
30,614759,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
31,636960,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
32,654643,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
33,675062,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
34,694818,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
35,714905,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
36,739643,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
37,754346,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
38,774308,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
39,794558,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
40,815064,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
41,835367,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
42,856974,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
43,875522,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
44,895073,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
45,914651,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
46,937176,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
47,953716,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
48,974459,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
49,994332,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
50,1014668,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
51,1038283,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
52,1057616,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
53,1075139,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
54,1094523,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
55,1114201,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
56,1137230,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
57,1155279,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
58,1174524,1,20.21091845,503.383232,635.0004903,0,640.000372,647.5983684,173.429177,1,-0.007699219846,-0.007699219846,-8.388254994,-8.388254994,1,0.005389453892,0.005389453892,-2.304908617,-2.304908617
