frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,24887057444,1081422,1,0
1,24887573888,1097424,1,0
2,24889992000,1111395,1,0
3,24890341555,1127057,1,0
4,24890666777,1140926,1,0
5,24891002666,1154999,1,0
6,24891331777,1173787,1,0
7,24891676555,1195243,1,0
8,24891998111,1206873,1,0
9,24892363999,1219256,1,0
10,24892671555,1239310,1,0
11,24893001777,1272153,1,0
12,24893336777,1303098,1,0
13,24893668111,1336149,1,0
14,24893999333,1372180,1,0
15,24894345666,1406503,1,0
16,24894669777,1439261,1,0
17,24895000666,1474267,1,0
18,24895335222,1506602,1,0
19,24895674444,1538559,1,0
20,24896006111,1573459,1,0
21,24896342555,1605156,1,0
22,24896674555,1641671,1,0
23,24897014555,1674239,1,0
24,24897351666,1706894,1,0
25,24897674444,1739091,1,0
26,24898003777,1775978,1,0
27,24898353111,1809218,1,0
28,24898690777,1839955,1,0
29,24899013222,1873385,1,0
30,24899352333,1906720,1,0
31,24899683333,1937918,1,0
32,24900007000,1974348,1,0
33,24900357777,2005354,1,0
34,24900680777,2042157,1,0
35,24901054888,2071423,1,0
36,24901355000,2105798,1,0
37,24901681444,2139464,1,0
38,24902013000,2176710,1,0
39,24902378000,2208218,1,0
40,24902687777,2240792,1,0
41,24903012555,2276497,1,0
42,24903340666,2308467,1,0
43,24903676222,2342629,1,0
44,24904026555,2375519,1,0
45,24904367555,2406973,1,0
46,24904688444,2438475,1,0
47,24905016666,2473613,1,0
48,24905344111,2507166,1,0
49,24905675333,2543400,1,0
50,24906022555,2576691,1,0
51,24906349666,2611297,1,0
52,24906685777,2646731,1,0
53,24907036222,2676907,1,0
54,24907354000,2711761,1,0
55,24907700444,2742419,1,0
56,24908009000,2774628,1,0
57,24908343000,2810564,1,0
58,24908706777,2842414,1,0
59,24909007000,2874905,1,0
60,24909351111,2907938,1,0
61,24909681888,2942969,1,0
62,24910012666,2975783,1,0
63,24910364111,3007517,1,0
64,24910693111,3040470,1,0
65,24911033666,3076036,1,0
66,24911373666,3108334,1,0
67,24911688111,3140577,1,0
68,24912014222,3174468,1,0
69,24912359333,3214177,1,0
70,24912746555,3239739,1,0
71,24913019222,3273773,1,0
72,24913360333,3305419,1,0
73,24913689555,3340425,1,0
74,24914016777,3373817,1,0
75,24914357555,3408267,1,0
76,24914689111,3445878,1,0
77,24915027666,3477891,1,0
78,24915366222,3512696,1,0
79,24915702666,3545359,1,0
80,24916022555,3579833,1,0
81,24916359777,3614074,1,0
82,24916694111,3649471,1,0
