sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,5046,1,1,2.537,-1.063,2.534,-1.059,0.000958558287,-7.44140466e-06,-0.201,-2.661,-0.199,-2.666,-0.00227999258,1.958225205e-06
1,14775,1,1,2.538,-1.06,2.534,-1.059,0.001278077716,-1.860351165e-06,-0.201,-2.661,-0.199,-2.666,-0.00227999258,1.958225205e-06
2,24657,1,1,2.538,-1.057,2.534,-1.059,0.001278077716,3.72070233e-06,-0.2,-2.662,-0.199,-2.666,-0.00113999629,1.566580164e-06
3,34046,1,1,2.538,-1.057,2.534,-1.059,0.001278077716,3.72070233e-06,-0.207,-2.666,-0.199,-2.666,-0.00911997032,0
4,47023,1,1,2.538,-1.057,2.534,-1.059,0.001278077716,3.72070233e-06,-0.207,-2.666,-0.199,-2.666,-0.00911997032,0
5,54319,1,1,2.538,-1.063,2.534,-1.059,0.001278077716,-7.44140466e-06,-0.201,-2.663,-0.199,-2.666,-0.00227999258,1.174935123e-06
6,64838,1,1,2.538,-1.062,2.534,-1.059,0.001278077716,-5.581053495e-06,-0.207,-2.665,-0.199,-2.666,-0.00911997032,3.91645041e-07
7,74913,1,1,2.538,-1.063,2.534,-1.059,0.001278077716,-7.44140466e-06,-0.207,-2.665,-0.199,-2.666,-0.00911997032,3.91645041e-07
8,84308,1,1,2.538,-1.063,2.534,-1.059,0.001278077716,-7.44140466e-06,-0.2,-2.663,-0.199,-2.666,-0.00113999629,1.174935123e-06
9,94452,1,1,2.538,-1.063,2.534,-1.059,0.001278077716,-7.44140466e-06,-0.204,-2.661,-0.199,-2.666,-0.00569998145,1.958225205e-06
10,104407,1,1,2.538,-1.063,2.534,-1.059,0.001278077716,-7.44140466e-06,-0.204,-2.661,-0.199,-2.666,-0.00569998145,1.958225205e-06
11,114308,1,1,2.533,-1.06,2.534,-1.059,-0.000319519429,-1.860351165e-06,-0.202,-2.662,-0.199,-2.666,-0.00341998887,1.566580164e-06
