sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,5046,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066514,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
1,24657,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066563,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
2,47023,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066579,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
3,64838,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066588,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
4,84308,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066593,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
5,104407,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066595,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
6,124670,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066597,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
7,147050,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066598,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
8,164677,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066598,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
9,184773,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066598,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
10,204318,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
11,224309,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
12,245855,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
13,264324,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
14,284100,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
15,304368,1,19.41094978,557.4698772,634.8505155,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
16,324130,1,19.41094978,557.4698772,634.8506706,0,639.8500871,641.0061488,687.8081519,1,-0.01353066599,-0.01353066599,-10.05138718,-10.05138718,1,-0.00516132886,-0.00516132886,-11.63800632,-11.63800632
