frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,28752997999,1029751,1,0
1,28753386555,1048005,1,0
2,28755538444,1071387,1,0
3,28755870555,1087161,1,0
4,28756213666,1111830,1,0
5,28756544888,1126910,1,0
6,28756877111,1143187,1,0
7,28757211222,1163921,1,0
8,28757546111,1183373,1,0
9,28757875222,1196381,1,0
10,28758224888,1208244,1,0
11,28758552000,1220778,1,0
12,28758880111,1237215,1,0
13,28759205555,1271276,1,0
14,28759547777,1304098,1,0
15,28759869444,1346257,1,0
16,28760302111,1371064,1,0
17,28760546444,1404104,1,0
18,28760868888,1438938,1,0
19,28761211777,1473042,1,0
20,28761552666,1506616,1,0
21,28761884333,1539729,1,0
22,28762214111,1573972,1,0
23,28762554111,1604646,1,0
24,28762878222,1637922,1,0
25,28763210777,1676251,1,0
26,28763562444,1706234,1,0
27,28763884666,1742756,1,0
28,28764227444,1774813,1,0
29,28764557333,1806983,1,0
30,28764887333,1840878,1,0
31,28765218888,1872693,1,0
32,28765549333,1906751,1,0
33,28765873444,1942033,1,0
34,28766219888,1976083,1,0
35,28766568444,2007336,1,0
36,28766882666,2039725,1,0
37,28767221222,2072444,1,0
38,28767557444,2104937,1,0
39,28767879888,2138792,1,0
40,28768215222,2174644,1,0
41,28768560111,2208571,1,0
42,28768896555,2241105,1,0
43,28769217333,2275402,1,0
44,28769567666,2310331,1,0
45,28769908555,2340787,1,0
46,28770217777,2375107,1,0
47,28770560888,2412425,1,0
48,28770884777,2441623,1,0
49,28771220000,2475020,1,0
50,28771561000,2539735,1,0
51,28772222666,2623041,1,0
52,28772222666,2634531,1,0
53,28772222666,2644553,1,0
54,28772924222,2660645,1,0
55,28773219000,2679481,1,0
56,28773561555,2710534,1,0
57,28773886666,2744551,1,0
58,28774239888,2778079,1,0
59,28774571888,2809831,1,0
60,28774892666,2843954,1,0
61,28775230444,2877745,1,0
62,28775569555,2913177,1,0
63,28775913444,2946196,1,0
64,28776243888,2977908,1,0
65,28776568000,3010196,1,0
66,28776897555,3042756,1,0
67,28777227555,3075736,1,0
68,28777558666,3109628,1,0
69,28777894555,3143809,1,0
70,28778232111,3175526,1,0
71,28778579000,3209156,1,0
72,28778897000,3241134,1,0
73,28779237777,3274178,1,0
74,28779570888,3309408,1,0
75,28779901444,3340395,1,0
76,28780236444,3375795,1,0
77,28780571444,3410704,1,0
78,28780895222,3446456,1,0
79,28781230888,3480297,1,0
80,28781568444,3511357,1,0
81,28781889000,3550785,1,0
82,28782250333,3582920,1,0
83,28782596333,3614197,1,0
84,28782914666,3647909,1,0
85,28783255111,3679990,1,0
86,28783580444,3714413,1,0
87,28783912999,3750927,1,0
88,28784276222,3781970,1,0
89,28784588666,3812506,1,0
90,28784897888,3849385,1,0
91,28785248000,3879503,1,0
92,28785573888,3912675,1,0
93,28785901000,3947025,1,0
94,28786240888,3980933,1,0
95,28786573666,4014165,1,0
96,28786908555,4047689,1,0
97,28787246222,4088207,1,0
98,28787646333,4113678,1,0
99,28787911333,4147646,1,0
100,28788247888,4187392,1,0
101,28788621222,4213952,1,0
102,28788917777,4248331,1,0
103,28789253111,4281909,1,0
104,28789582333,4314628,1,0
105,28789907666,4349080,1,0
106,28790250888,4382101,1,0
107,28790576555,4413187,1,0
108,28790904444,4446275,1,0
109,28791235666,4479997,1,0
110,28791574666,4513632,1,0
111,28791906111,4546889,1,0
112,28792246222,4579463,1,0
113,28792575000,4613279,1,0
114,28792914000,4647835,1,0
115,28793251000,4680899,1,0
116,28793578333,4714871,1,0
117,28793915555,4747802,1,0
118,28794249888,4781881,1,0
119,28794582333,4814462,1,0
120,28794910000,4850380,1,0
121,28795274111,4881414,1,0
122,28795583555,4915081,1,0
123,28795919111,4950338,1,0
124,28796272444,4983554,1,0
125,28796588666,5015990,1,0
126,28796923666,5050318,1,0
127,28797267000,5081887,1,0
128,28797587111,5114576,1,0
129,28797916333,5147545,1,0
130,28798257777,5182773,1,0
131,28798597111,5216576,1,0
132,28798913777,5249061,1,0
133,28799253555,5282814,1,0
134,28799592222,5314231,1,0
135,28799909666,5349835,1,0
136,28800280666,5380466,1,0
137,28800584444,5413634,1,0
138,28800913222,5448672,1,0
139,28801251666,5480977,1,0
140,28801585000,5513775,1,0
141,28801913666,5548889,1,0
142,28802261111,5583319,1,0
143,28802600333,5614852,1,0
144,28802920222,5648353,1,0
145,28803263000,5681633,1,0
146,28803590666,5715646,1,0
147,28803931555,5747225,1,0
148,28804259666,5782880,1,0
149,28804600444,5814829,1,0
150,28804923555,5849826,1,0
151,28805260000,5881356,1,0
152,28805596000,5916491,1,0
153,28805936000,5949160,1,0
154,28806262555,5982974,1,0
155,28806599333,6017881,1,0
156,28806941000,6050410,1,0
157,28807274000,6082040,1,0
158,28807595555,6115999,1,0
159,28807932111,6148665,1,0
160,28808257111,6189067,1,0
161,28808653666,6218813,1,0
162,28808957555,6249851,1,0
163,28809267111,6284038,1,0
164,28809603111,6316545,1,0
165,28809936777,6347615,1,0
166,28810259444,6385912,1,0
167,28810626666,6418246,1,0
168,28810933555,6450499,1,0
169,28811271888,6481459,1,0
170,28811598666,6516818,1,0
171,28811927222,6550116,1,0
172,28812270222,6583678,1,0
173,28812603666,6615809,1,0
174,28812932333,6650336,1,0
175,28813268888,6681066,1,0
176,28813594888,6715509,1,0
177,28813932555,6751363,1,0
178,28814277222,6820314,1,0
179,28814970111,6893381,1,0
180,28814970111,6905698,1,0
181,28814970111,6917803,1,0
182,28815600777,6934449,1,0
183,28815924888,6951830,1,0
184,28816279666,6984251,1,0
185,28816624333,7016388,1,0
186,28816944444,7048960,1,0
187,28817267000,7082987,1,0
188,28817611555,7118347,1,0
189,28817943111,7149922,1,0
190,28818269111,7182758,1,0
191,28818606777,7218316,1,0
192,28818939111,7251877,1,0
193,28819277555,7285042,1,0
194,28819612555,7317143,1,0
195,28819943555,7350765,1,0
196,28820269888,7384463,1,0
197,28820613333,7416971,1,0
198,28820933333,7456858,1,0
199,28821340444,7482217,1,0
200,28821594000,7518994,1,0
201,28821964222,7550326,1,0
202,28822275333,7585083,1,0
203,28822611111,7617366,1,0
204,28822945111,7650709,1,0
205,28823277888,7682972,1,0
206,28823603666,7716275,1,0
207,28823937666,7751954,1,0
208,28824277444,7782996,1,0
209,28824607444,7816676,1,0
210,28824936444,7851577,1,0
211,28825284111,7884362,1,0
212,28825616222,7917103,1,0
213,28825943111,7952752,1,0
214,28826289666,7986749,1,0
215,28826637444,8019075,1,0
216,28826953000,8051692,1,0
217,28827287444,8087938,1,0
218,28827646111,8116219,1,0
219,28827945333,8151892,1,0
220,28828288777,8186657,1,0
221,28828636333,8218009,1,0
222,28828953555,8254245,1,0
223,28829311111,8286634,1,0
224,28829624888,8317559,1,0
225,28829949333,8352948,1,0
226,28830288000,8385443,1,0
227,28830626111,8416074,1,0
228,28830944333,8451755,1,0
229,28831285222,8484847,1,0
230,28831618555,8523337,1,0
231,28831951222,8552118,1,0
232,28832288666,8585305,1,0
233,28832624555,8618299,1,0
234,28832947666,8653758,1,0
235,28833292000,8686942,1,0
236,28833639888,8719088,1,0
237,28833966000,8754594,1,0
238,28834311111,8786960,1,0
239,28834633666,8820157,1,0
240,28834957888,8852701,1,0
241,28835297888,8884995,1,0
242,28835621111,8918884,1,0
243,28835965222,8952062,1,0
244,28836291555,8990761,1,0
245,28836620888,9018058,1,0
246,28836957111,9052815,1,0
247,28837300222,9088977,1,0
248,28837615111,9118125,1,0
249,28837945555,9153590,1,0
250,28838305222,9185297,1,0
251,28838625111,9222177,1,0
252,28838979000,9254909,1,0
253,28839287222,9285901,1,0
254,28839630222,9319321,1,0
255,28839973555,9356614,1,0
256,28840336111,9385960,1,0
257,28840632111,9422382,1,0
258,28840986777,9455565,1,0
259,28841296000,9484842,1,0
260,28841631333,9518863,1,0
261,28841971000,9554845,1,0
262,28842328222,9587386,1,0
