sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,5626,1,1,-0.29,-0.41,-0.293,-0.412,0.000958558287,3.72070233e-06,0.075,3.334,0.077,3.334,-0.00227999258,0
1,13771,1,1,-0.29,-0.41,-0.293,-0.412,0.000958558287,3.72070233e-06,0.075,3.334,0.077,3.334,-0.00227999258,0
2,23157,1,1,-0.29,-0.41,-0.293,-0.412,0.000958558287,3.72070233e-06,0.075,3.336,0.077,3.334,-0.00227999258,7.83290082e-07
3,33384,1,1,-0.29,-0.41,-0.293,-0.412,0.000958558287,3.72070233e-06,0.071,3.335,0.077,3.334,-0.00683997774,3.91645041e-07
4,43221,1,1,-0.29,-0.41,-0.293,-0.412,0.000958558287,3.72070233e-06,0.071,3.335,0.077,3.334,-0.00683997774,3.91645041e-07
5,53087,1,1,-0.291,-0.412,-0.293,-0.412,0.000639038858,0,0.079,3.334,0.077,3.334,0.00227999258,0
6,64542,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.07,3.335,0.077,3.334,-0.00797997403,3.91645041e-07
7,73899,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.07,3.335,0.077,3.334,-0.00797997403,3.91645041e-07
8,83764,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.076,3.337,0.077,3.334,-0.00113999629,1.174935123e-06
9,93185,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.071,3.336,0.077,3.334,-0.00683997774,7.83290082e-07
10,103053,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.071,3.336,0.077,3.334,-0.00683997774,7.83290082e-07
11,113165,1,1,-0.291,-0.412,-0.293,-0.412,0.000639038858,0,0.076,3.337,0.077,3.334,-0.00113999629,1.174935123e-06
12,123237,1,1,-0.29,-0.409,-0.293,-0.412,0.000958558287,5.581053495e-06,0.07,3.333,0.077,3.334,-0.00797997403,-3.91645041e-07
13,133875,1,1,-0.29,-0.409,-0.293,-0.412,0.000958558287,5.581053495e-06,0.07,3.333,0.077,3.334,-0.00797997403,-3.91645041e-07
14,143056,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.075,3.335,0.077,3.334,-0.00227999258,3.91645041e-07
15,153941,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.072,3.336,0.077,3.334,-0.00569998145,7.83290082e-07
16,166824,1,1,-0.251,-0.316,-0.293,-0.412,0.01341981602,0.0001785937118,0.072,3.336,0.077,3.334,-0.00569998145,7.83290082e-07
17,176596,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.074,3.336,0.077,3.334,-0.00341998887,7.83290082e-07
18,183215,1,1,-0.291,-0.412,-0.293,-0.412,0.000639038858,0,0.074,3.334,0.077,3.334,-0.00341998887,0
19,193078,1,1,-0.29,-0.41,-0.293,-0.412,0.000958558287,3.72070233e-06,0.074,3.334,0.077,3.334,-0.00341998887,0
20,203942,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.074,3.336,0.077,3.334,-0.00341998887,7.83290082e-07
21,214322,1,1,-0.29,-0.408,-0.293,-0.412,0.000958558287,7.44140466e-06,0.068,3.337,0.077,3.334,-0.01025996661,1.174935123e-06
22,223980,1,1,-0.29,-0.408,-0.293,-0.412,0.000958558287,7.44140466e-06,0.068,3.337,0.077,3.334,-0.01025996661,1.174935123e-06
23,233372,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.076,3.335,0.077,3.334,-0.00113999629,3.91645041e-07
24,243777,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.071,3.333,0.077,3.334,-0.00683997774,-3.91645041e-07
25,253164,1,1,-0.291,-0.409,-0.293,-0.412,0.000639038858,5.581053495e-06,0.071,3.333,0.077,3.334,-0.00683997774,-3.91645041e-07
26,265977,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.073,3.336,0.077,3.334,-0.00455998516,7.83290082e-07
27,273168,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.069,3.337,0.077,3.334,-0.00911997032,1.174935123e-06
28,283178,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.069,3.337,0.077,3.334,-0.00911997032,1.174935123e-06
29,293138,1,1,-0.292,-0.411,-0.293,-0.412,0.000319519429,1.860351165e-06,0.074,3.336,0.077,3.334,-0.00341998887,7.83290082e-07
30,303051,1,1,-0.292,-0.41,-0.293,-0.412,0.000319519429,3.72070233e-06,0.069,3.336,0.077,3.334,-0.00911997032,7.83290082e-07
31,313894,1,1,-0.292,-0.41,-0.293,-0.412,0.000319519429,3.72070233e-06,0.069,3.336,0.077,3.334,-0.00911997032,7.83290082e-07
32,323060,1,1,-0.292,-0.411,-0.293,-0.412,0.000319519429,1.860351165e-06,0.076,3.336,0.077,3.334,-0.00113999629,7.83290082e-07
33,333934,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.071,3.336,0.077,3.334,-0.00683997774,7.83290082e-07
34,343823,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.071,3.336,0.077,3.334,-0.00683997774,7.83290082e-07
35,353210,1,1,-0.291,-0.412,-0.293,-0.412,0.000639038858,0,0.075,3.335,0.077,3.334,-0.00227999258,3.91645041e-07
36,364679,1,1,-0.29,-0.409,-0.293,-0.412,0.000958558287,5.581053495e-06,0.071,3.336,0.077,3.334,-0.00683997774,7.83290082e-07
37,373998,1,1,-0.29,-0.409,-0.293,-0.412,0.000958558287,5.581053495e-06,0.071,3.336,0.077,3.334,-0.00683997774,7.83290082e-07
38,384363,1,1,-0.292,-0.411,-0.293,-0.412,0.000319519429,1.860351165e-06,0.075,3.336,0.077,3.334,-0.00227999258,7.83290082e-07
39,393753,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.073,3.336,0.077,3.334,-0.00455998516,7.83290082e-07
40,403179,1,1,-0.292,-0.412,-0.293,-0.412,0.000319519429,0,0.073,3.336,0.077,3.334,-0.00455998516,7.83290082e-07
41,413049,1,1,-0.291,-0.412,-0.293,-0.412,0.000639038858,0,0.076,3.335,0.077,3.334,-0.00113999629,3.91645041e-07
42,423894,1,1,-0.292,-0.411,-0.293,-0.412,0.000319519429,1.860351165e-06,0.07,3.336,0.077,3.334,-0.00797997403,7.83290082e-07
43,433056,1,1,-0.292,-0.411,-0.293,-0.412,0.000319519429,1.860351165e-06,0.07,3.336,0.077,3.334,-0.00797997403,7.83290082e-07
