sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,5626,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
1,23157,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
2,43221,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
3,64542,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
4,83764,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
5,103053,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
6,123237,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
7,143056,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
8,166824,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
9,183215,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
10,203942,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
11,223980,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
12,243777,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
13,265977,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
14,283178,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
15,303051,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
16,323060,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
17,343823,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
18,364679,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
19,384363,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
20,403179,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
21,423894,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
22,443513,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
23,466013,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
24,483048,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
25,503973,1,7.999996895,578.0941752,635.0004903,0,639.9997516,640.0006822,1573.048338,1,-0.03044043402,-0.03044043402,-10.01331728,-10.01331728,1,-0.00516132886,-0.00516132886,-27.02085932,-27.02085932
