sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm,fn_2_raw_v,ft_2_raw_v,fn_2_zero_v,ft_2_zero_v,clean_force_2_n,clean_handle_torque_2_nm
0,5247,1,1,2.555,0.618,2.564,0.619,-0.002875674861,-1.860351165e-06,-0.496,2.371,-0.497,2.375,0.00113999629,-1.566580164e-06
1,16989,1,1,2.555,0.618,2.564,0.619,-0.002875674861,-1.860351165e-06,-0.496,2.372,-0.497,2.375,0.00113999629,-1.174935123e-06
2,24290,1,1,2.555,0.618,2.564,0.619,-0.002875674861,-1.860351165e-06,-0.496,2.372,-0.497,2.375,0.00113999629,-1.174935123e-06
3,36023,1,1,2.555,0.618,2.564,0.619,-0.002875674861,-1.860351165e-06,-0.496,2.373,-0.497,2.375,0.00113999629,-7.83290082e-07
4,44072,1,1,2.558,0.619,2.564,0.619,-0.001917116574,0,-0.494,2.374,-0.497,2.375,0.00341998887,-3.91645041e-07
5,54460,1,1,2.558,0.619,2.564,0.619,-0.001917116574,0,-0.494,2.374,-0.497,2.375,0.00341998887,-3.91645041e-07
6,65211,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.495,2.373,-0.497,2.375,0.00227999258,-7.83290082e-07
7,74184,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.501,2.373,-0.497,2.375,-0.00455998516,-7.83290082e-07
8,84555,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.501,2.373,-0.497,2.375,-0.00455998516,-7.83290082e-07
9,94436,1,1,2.556,0.619,2.564,0.619,-0.002556155432,0,-0.496,2.374,-0.497,2.375,0.00113999629,-3.91645041e-07
10,105117,1,1,2.555,0.618,2.564,0.619,-0.002875674861,-1.860351165e-06,-0.497,2.373,-0.497,2.375,0,-7.83290082e-07
11,114512,1,1,2.555,0.618,2.564,0.619,-0.002875674861,-1.860351165e-06,-0.497,2.373,-0.497,2.375,0,-7.83290082e-07
12,124385,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.495,2.373,-0.497,2.375,0.00227999258,-7.83290082e-07
13,135896,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.496,2.375,-0.497,2.375,0.00113999629,0
14,145276,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.496,2.375,-0.497,2.375,0.00113999629,0
15,154151,1,1,2.554,0.619,2.564,0.619,-0.00319519429,0,-0.495,2.371,-0.497,2.375,0.00227999258,-1.566580164e-06
16,165381,1,1,2.554,0.619,2.564,0.619,-0.00319519429,0,-0.499,2.37,-0.497,2.375,-0.00227999258,-1.958225205e-06
17,174742,1,1,2.554,0.619,2.564,0.619,-0.00319519429,0,-0.499,2.37,-0.497,2.375,-0.00227999258,-1.958225205e-06
18,184874,1,1,2.553,0.619,2.564,0.619,-0.003514713719,0,-0.494,2.372,-0.497,2.375,0.00341998887,-1.174935123e-06
19,194236,1,1,2.553,0.619,2.564,0.619,-0.003514713719,0,-0.496,2.374,-0.497,2.375,0.00113999629,-3.91645041e-07
20,204777,1,1,2.553,0.619,2.564,0.619,-0.003514713719,0,-0.496,2.374,-0.497,2.375,0.00113999629,-3.91645041e-07
21,214166,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.494,2.373,-0.497,2.375,0.00341998887,-7.83290082e-07
22,224047,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.498,2.375,-0.497,2.375,-0.00113999629,0
23,243064,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.496,2.373,-0.497,2.375,0.00113999629,-7.83290082e-07
24,247272,1,1,2.553,0.618,2.564,0.619,-0.003514713719,-1.860351165e-06,-0.497,2.373,-0.497,2.375,0,-7.83290082e-07
25,254185,1,1,2.553,0.618,2.564,0.619,-0.003514713719,-1.860351165e-06,-0.499,2.369,-0.497,2.375,-0.00227999258,-2.349870246e-06
26,264879,1,1,2.553,0.618,2.564,0.619,-0.003514713719,-1.860351165e-06,-0.499,2.369,-0.497,2.375,-0.00227999258,-2.349870246e-06
27,274592,1,1,2.556,0.619,2.564,0.619,-0.002556155432,0,-0.499,2.369,-0.497,2.375,-0.00227999258,-2.349870246e-06
28,284100,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.499,2.369,-0.497,2.375,-0.00227999258,-2.349870246e-06
29,295140,1,1,2.557,0.619,2.564,0.619,-0.002236636003,0,-0.499,2.369,-0.497,2.375,-0.00227999258,-2.349870246e-06
30,305023,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.496,2.373,-0.497,2.375,0.00113999629,-7.83290082e-07
31,314233,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.497,2.374,-0.497,2.375,0,-3.91645041e-07
32,324115,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.497,2.374,-0.497,2.375,0,-3.91645041e-07
33,336331,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.496,2.375,-0.497,2.375,0.00113999629,0
34,344138,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.497,2.374,-0.497,2.375,0,-3.91645041e-07
35,355216,1,1,2.554,0.618,2.564,0.619,-0.00319519429,-1.860351165e-06,-0.497,2.374,-0.497,2.375,0,-3.91645041e-07
