sample_index,elapsed_us,position_valid,axis1_from_left_mm,axis2_from_left_mm,axis3_from_left_mm,axis4_from_left_mm,axis5_from_left_mm,axis6_from_left_mm,axis7_from_left_mm,axis1_handle_valid,axis1_handle_linear_raw,axis1_handle_linear_filtered,axis1_handle_rotation_raw,axis1_handle_rotation_filtered,axis6_handle_valid,axis6_handle_linear_raw,axis6_handle_linear_filtered,axis6_handle_rotation_raw,axis6_handle_rotation_filtered
0,16989,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01655332267,-0.01655332267,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
1,36023,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01655332267,-0.01655332267,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
2,54460,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01655332267,-0.01655332267,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
3,74184,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01655332267,-0.01655332267,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
4,94436,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01655332267,-0.01655332267,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
5,114512,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01655332267,-0.01655332267,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
6,135896,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656757641,-0.0165568861,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
7,154151,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656758048,-0.01656156489,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
8,174742,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656758048,-0.01656419672,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
9,194236,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656758048,-0.01656567711,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
10,214166,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656758048,-0.01656650984,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
11,243064,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656758048,-0.01656697825,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
12,254185,1,7.999996895,890.729637,635.0004903,0,640.0000618,658.5662211,1604.509641,1,-0.01656758048,-0.01656724173,0.6966418807,0.6966418807,1,-0.005147071045,-0.005147071045,-3.369932784,-3.369932784
