frame_index,source_timestamp_100ns,callback_elapsed_us,keyframe,discontinuity
0,35528521222,1358040,1,0
1,35528907666,1370412,1,0
2,35531328888,1381232,1,0
3,35531663333,1394502,1,0
4,35532038555,1408411,1,0
5,35532329666,1419799,1,0
6,35532680222,1439985,1,0
7,35533070888,1457335,1,0
8,35533334222,1468055,1,0
9,35533675888,1478461,1,0
10,35534006888,1502320,1,0
11,35534345111,1529330,1,0
12,35534679444,1565509,1,0
13,35535043888,1600874,1,0
14,35535374444,1630273,1,0
15,35535686777,1665022,1,0
16,35536026666,1695098,1,0
17,35536338888,1731031,1,0
18,35536673222,1765928,1,0
19,35537013666,1798188,1,0
20,35537337777,1830006,1,0
21,35537670222,1866105,1,0
22,35538017000,1895745,1,0
23,35538346222,1927467,1,0
24,35538662666,1962935,1,0
25,35539014777,1996507,1,0
26,35539341222,2029736,1,0
27,35539678000,2064088,1,0
28,35540008777,2101073,1,0
29,35540338666,2134269,1,0
30,35540675000,2169132,1,0
31,35541011888,2201751,1,0
32,35541344888,2235650,1,0
33,35541669000,2268303,1,0
34,35542009111,2302506,1,0
35,35542343000,2332989,1,0
36,35542674111,2366095,1,0
37,35543017444,2399454,1,0
38,35543339000,2433017,1,0
39,35543672111,2467027,1,0
40,35544004000,2501303,1,0
41,35544340555,2534870,1,0
42,35544673888,2567343,1,0
43,35545005111,2602104,1,0
44,35545348333,2635985,1,0
45,35545675777,2667920,1,0
46,35546011000,2701643,1,0
47,35546347444,2739296,1,0
48,35546712444,2769791,1,0
49,35547014555,2801370,1,0
50,35547355333,2834984,1,0
51,35547678000,2868120,1,0
52,35548012000,2903826,1,0
53,35548367555,2935587,1,0
54,35548687000,2968251,1,0
55,35549013222,3003996,1,0
56,35549354555,3037126,1,0
57,35549680222,3072744,1,0
58,35550018333,3102733,1,0
59,35550374444,3132436,1,0
60,35550679888,3166727,1,0
61,35551041000,3200631,1,0
62,35551382666,3229332,1,0
63,35551684222,3265781,1,0
64,35552038000,3297458,1,0
65,35552362666,3328250,1,0
66,35552675777,3365190,1,0
67,35553030000,3396646,1,0
68,35553355222,3429404,1,0
69,35553687222,3463796,1,0
70,35554018333,3497049,1,0
71,35554356777,3529479,1,0
72,35554675555,3564363,1,0
73,35555023555,3598766,1,0
74,35555352555,3631668,1,0
75,35555690222,3666144,1,0
76,35556016888,3702114,1,0
77,35556359333,3732289,1,0
78,35556682666,3766540,1,0
79,35557023111,3802919,1,0
80,35557357111,3834483,1,0
81,35557689000,3868105,1,0
82,35558024222,3899240,1,0
83,35558354222,3933156,1,0
84,35558685222,3965803,1,0
85,35559020777,4003776,1,0
86,35559383444,4031674,1,0
87,35559687555,4065062,1,0
88,35560020888,4101093,1,0
89,35560374888,4132448,1,0
90,35560704111,4167194,1,0
91,35561039222,4201732,1,0
92,35561391555,4230654,1,0
93,35561698888,4265403,1,0
94,35562043222,4300097,1,0
95,35562390222,4332324,1,0
96,35562702000,4366786,1,0
97,35563039000,4398726,1,0
98,35563363111,4432477,1,0
99,35563703333,4465170,1,0
100,35564028555,4503641,1,0
101,35564387555,4535555,1,0
102,35564697444,4569154,1,0
103,35565026444,4608825,1,0
104,35565383777,4638035,1,0
105,35565697222,4671501,1,0
106,35566035111,4704082,1,0
107,35566363000,4737675,1,0
108,35566698777,4770437,1,0
109,35567030333,4804887,1,0
110,35567371000,4837227,1,0
111,35567698444,4870545,1,0
112,35568028666,4905807,1,0
113,35568376888,4937006,1,0
114,35568697222,4970799,1,0
115,35569028222,5004395,1,0
116,35569371777,5037899,1,0
117,35569706333,5072853,1,0
118,35570037111,5105950,1,0
119,35570369444,5141174,1,0
120,35570730000,5170669,1,0
121,35571038333,5204450,1,0
122,35571372000,5238966,1,0
123,35571715000,5273004,1,0
124,35572045888,5305187,1,0
125,35572375333,5337749,1,0
126,35572698333,5371047,1,0
127,35573036333,5406362,1,0
128,35573374888,5439117,1,0
129,35573724333,5472082,1,0
130,35574036666,5505204,1,0
131,35574380000,5538722,1,0
132,35574710111,5573324,1,0
133,35575042555,5604086,1,0
134,35575370777,5639040,1,0
135,35575715888,5671445,1,0
136,35576047222,5705975,1,0
137,35576376555,5739559,1,0
138,35576707111,5773240,1,0
139,35577044222,5806272,1,0
140,35577373888,5839906,1,0
141,35577715222,5873276,1,0
142,35578045888,5908136,1,0
143,35578397555,5941116,1,0
144,35578727777,5974008,1,0
145,35579062333,6005338,1,0
146,35579378333,6039378,1,0
147,35579703777,6073559,1,0
148,35580043444,6104675,1,0
149,35580379444,6138138,1,0
150,35580702777,6171896,1,0
151,35581049333,6206485,1,0
152,35581381444,6239155,1,0
153,35581722111,6272958,1,0
154,35582054444,6306402,1,0
155,35582387444,6341295,1,0
156,35582746333,6372348,1,0
157,35583050000,6405848,1,0
158,35583388333,6441606,1,0
159,35583729666,6470769,1,0
160,35584036444,6506744,1,0
161,35584384777,6539692,1,0
162,35584714111,6572565,1,0
163,35585053777,6606835,1,0
164,35585376888,6643497,1,0
165,35585736444,6672497,1,0
166,35586047444,6707145,1,0
167,35586391777,6739420,1,0
168,35586717333,6772790,1,0
169,35587055222,6807154,1,0
170,35587397888,6841800,1,0
171,35587751333,6876908,1,0
172,35588074000,6908723,1,0
173,35588406666,6941173,1,0
174,35588730333,6976456,1,0
175,35589068777,7011147,1,0
176,35589428111,7038239,1,0
177,35589716000,7075015,1,0
178,35590078555,7107080,1,0
179,35590396666,7140538,1,0
180,35590730111,7175552,1,0
181,35591074666,7207201,1,0
182,35591385888,7240081,1,0
183,35591723333,7273204,1,0
184,35592063111,7307867,1,0
185,35592396666,7339447,1,0
186,35592719000,7373904,1,0
187,35593059555,7406550,1,0
188,35593399888,7439522,1,0
189,35593722111,7473630,1,0
190,35594063888,7507378,1,0
191,35594393222,7539287,1,0
192,35594721333,7574263,1,0
193,35595068000,7606788,1,0
194,35595392666,7641341,1,0
195,35595719555,7674056,1,0
196,35596058555,7707448,1,0
197,35596393000,7743557,1,0
198,35596754111,7776301,1,0
199,35597072555,7807011,1,0
200,35597395111,7840765,1,0
201,35597728444,7873735,1,0
202,35598064555,7909515,1,0
203,35598404777,7941992,1,0
204,35598737777,7974384,1,0
205,35599068444,8012396,1,0
206,35599426444,8040458,1,0
207,35599729222,8073644,1,0
208,35600069333,8108299,1,0
209,35600406111,8141399,1,0
210,35600732888,8175531,1,0
211,35601072888,8209283,1,0
212,35601399666,8246045,1,0
213,35601752333,8274904,1,0
214,35602073111,8307907,1,0
215,35602405000,8341232,1,0
216,35602739666,8376322,1,0
217,35603077222,8408604,1,0
218,35603412777,8438605,1,0
219,35603725444,8475305,1,0
220,35604069222,8508771,1,0
221,35604406888,8540574,1,0
222,35604734111,8577248,1,0
223,35605077000,8609701,1,0
