itemID	规范主条目itemID	是否重复记录	标题	作者	日期	DOI	现有分类	建议分类	置信度	判定依据	附件数	可用PDF数	摘要摘录
53	53	否	Multilevel Operation Strategy of a Vascular Interventional Robot System for Surgical Safety in Teleoperation	Xianqiang Bao; Shuxiang Guo; Yangming Guo; Cheng Yang; Liwei Shi; Youxiang Li; Yuhua Jiang	2022-08	10.1109/TRO.2022.3140887	血管介入 / 安全方法	力反馈与安全控制 | 主从人机交互	高	多级操作力与在线危险操作抑制，主从远程操作。	3	2	Remote-controlled vascular interventional robots have great potential for use in minimally invasive vascular surgeries in recent years due to their ability to reduce the occupational risk of surgeons and improve the stability and accuracy of surgical procedures. However, blood vessels will suffer from the damage caused by collision with medical instruments to some extent even though the surgeries 
82	82	否	刚柔可控血管介入机器人的主从控制系统与触觉反馈研究	何城彬	2020	10.27356/d.cnki.gtjdu.2020.002825	血管介入 / 硕士毕业论文	近端力与扭矩感知 | 力反馈与安全控制 | 主从人机交互 | 导管屈曲/形态感知	高	刚柔可控导管、FBG接触力感知及主从触觉反馈。	1	1	近年来,心血管疾病已成为我国城乡居民的主要死亡原因。与人工微创血管介入手术相比,机器人辅助微创血管介入手术更加安全准确,能够降低医生操作的难度,因而引起了业界的广泛关注,关于血管介入机器人的研究也进行得如火如荼。然而,现有的血管介入机器人体积较大,安装复杂,成本较高,缺乏力反馈,且导管的刚度不可变,这些缺点带来了潜在的安全隐患。本文针对微创血管介入手术的实际需求,阐述了刚柔可控且带有力反馈功能的血管介入机器人的整体设计方案,包括具有力传感功能的刚柔可控介入导管以及具有力反馈功能的主从式导管驱动装置,最后成功制作出血管介入机器人的样机并完成了实验验证。具体的研究内容如下:首先,为了使导管具有可变的刚度,本文提出了三种实现刚柔可控功能的导管设计方案,方案能够在不过分增加导管尺寸大小的前提下,通过控制温度的方式改变导管的刚度,从而能够在保持手术安全性的同时提升导管的输送效率。其次,本文提出了两种
163	163	否	Transferring Virtual Surgical Skills to Reality: AI Agents Mastering Surgical Decision-Making in Vascular Interventional Robotics	Ziyang Mei; Jiayi Wei; Si Pan; Haoyun Wang; Dezhi Wu; Yang Zhao; Gang Liu; Shuxiang Guo	2025-04	10.1109/TMECH.2024.3420954	血管介入 / 智能方法	自主导航、图像引导与技能学习	高	虚拟环境、强化学习与自动导丝导航决策。	1	1	Vascular interventional surgery offers advantages, such as minimal invasiveness, quick recovery, and low side-effects. Performing automatic guidewire navigation on vascular surgical robots can effectively assist doctors in performing surgery. Deep learning and reinforcement learning methods have been widely used for guidewire navigation tasks. However, the challenge remains in making delivery deci
165	165	否	Design of an Autonomous Delivery System for Vascular Intervention Robots Based on Curvature Variation	Sheng Cao; Shuxiang Guo; Jian Guo; Jian Wang; Chunying Li; Huiyin Xu; Bin Wang; Mingchao Ding	2025-08	10.1109/ICMA65362.2025.11120695	血管介入 / 安全方法	自主导航、图像引导与技能学习 | 导管屈曲/形态感知 | 力反馈与安全控制	高	基于器械曲率变化检测碰撞并自动停止输送。	1	1	With the rising incidence of cardiovascular and cerebrovascular diseases, vascular interventional surgery has become a primary treatment for conditions such as stroke, vascular occlusion, and aneurysms. However, the need for physicians to wear heavy lead aprons and endure prolonged radiation exposure, combined with the high technical demands of the procedure, has led to a declining number of willi
169	169	否	A Deep Reinforcement Learning Approach for Autonomous Guidewire Navigation in Vascular Interventional Surgery	Chong Yang; Shuxiang Guo; Haoyu Xie; Weihao Wu; Sihan Gao; Chunying Li; Yudi Zhou			血管介入 / 智能方法	自主导航、图像引导与技能学习	高	DQN自主导丝导航。	1	1	With the increasing incidence of cardiovascular and cerebrovascular diseases, minimally invasive vascular interventional surgery has emerged as a crucial therapeutic option. Vascular interventional surgical robots serve as auxiliary tools for surgeons and effectively shield surgeons from radiation exposure. The integration of artificial intelligence technologies into surgical robots is being exten
180	180	否	Design and Implementation of a Plaque Detachment Prediction System Based on Guidewire Curvature Analysis	Yining Shang; Shuxiang Guo; Sheng Chao	2025-08	10.1109/ICMA65362.2025.11120652	血管介入 / 安全方法	导管屈曲/形态感知 | 力反馈与安全控制	高	根据导丝曲率预测斑块脱落风险。	1	1	The increasing prevalence of cardiovascular and cerebrovascular diseases has led to a growing demand for safe and effective interventional procedures. While catheterbased surgeries have become standard, limitations such as unpredictable plaque behavior and a lack of personalized training environments have hindered their success. Roboticassisted interventions offer enhanced precision, yet the absen
182	182	否	A Novel Method for Extracting Surgical Operating Skills Through a Vascular Interventional Surgery Robot	Jintao Luo; Shuxiang Guo; Yonggan Yan; Bingzhi Shen; Bin Wang; Mingchao Ding	2025-08	10.1109/ICMA65362.2025.11120683	血管介入 / 智能方法	自主导航、图像引导与技能学习 | 主从人机交互	高	仅使用机器人数据识别/学习医生操作技能。	1	1	In robot-assisted vascular interventions, the surgeons' operating skills have a significant impact on the outcome of the surgery. However, there is limited research on operation recognition and skill learning of surgeons' operating skills. Most of the studies rely on data collected by multiple external sensors, and the data collection process and recognition algorithms are complex and time consumi
184	184	否	Study on Path Planning Strategy for Vascular Interventional Surgery Based on Visual Information	Zimeng He; Chong Yang; Shuxiang Guo; Weihao Wu; Haoyu Xie; Chunying Li	2025-08	10.1109/ICMA65362.2025.11120769	血管介入 / 智能方法	自主导航、图像引导与技能学习 | 导管屈曲/形态感知	高	视觉导丝定位、血管分割与路径规划。	1	1	Vascular interventional robots have significantly advanced traditional surgical procedures by integrating autonomous navigation, real-time imaging, and AI-driven algorithms, thereby enhancing both precision and efficiency. Realtime guidewire navigation is critical for enabling autonomous operation. However, current research in this area still faces challenges such as the lack of accurate guidewire
190	190	否	Autonomous Path Planning for Vascular Interventional Surgical Robots: From Virtual Simulation to Physical Validation	Weihao Wu; Chong Yang; Shuxiang Guo; Haoyu Xie; Sheng Cao; Chunying Li	2025-08	10.1109/ICMA65362.2025.11120787	血管介入 / 智能方法	自主导航、图像引导与技能学习 | 导管屈曲/形态感知	高	虚拟血管重建、中心线和A*路径规划并实机验证。	1	1	An autonomous navigation framework for vascular interventional surgical robots is proposed in this study, with a focus on path planning based on virtual vascular models and real-time execution control. A complete navigation pipeline is developed, including 3D vessel reconstruction, centerline extraction, fully connected graph construction, and A* search-based optimal path generation. A set of geom
232	232	否	Autonomous Navigation for Robot-Assisted Intraluminal and Endovascular Procedures: A Systematic Review	Ameya Pore; Zhen Li; Diego Dall'Alba; Albert Hernansanz; Elena De Momi; Arianna Menciassi; Alicia Casals Gelpí; Jenny Dankelman; Paolo Fiorini; Emmanuel Vander Poorten	2023-08	10.1109/TRO.2023.3269384	血管介入 / 智能方法	综述 | 自主导航、图像引导与技能学习	高	自主腔内/血管导航系统综述。	1	1	Increased demand for less invasive procedures has accelerated the adoption of Intraluminal Procedures (IP) and Endovascular Interventions (EI) performed through body lumens and vessels. As navigation through lumens and vessels is quite complex, interest grows to establish autonomous navigation techniques for IP and EI for reaching the target area. Current research efforts are directed toward incre
