timestamp,ft_1_value,fn_1_value,fn_2_value,ft_2_value
2026-04-05 17:35:08.930,343,792,-33,-266
2026-04-05 17:35:08.949,283,792,-33,-266
2026-04-05 17:35:08.967,283,792,-33,-266
2026-04-05 17:35:08.985,283,763,-33,-266
2026-04-05 17:35:09.012,283,763,-27,-266
2026-04-05 17:35:09.030,279,763,-27,-266
2026-04-05 17:35:09.049,279,780,-27,-267
2026-04-05 17:35:09.067,279,780,-27,-267
2026-04-05 17:35:09.085,268,780,-59,-267
2026-04-05 17:35:09.112,268,780,-59,-266
2026-04-05 17:35:09.130,268,787,-59,-266
2026-04-05 17:35:09.149,268,787,-36,-266
2026-04-05 17:35:09.167,373,787,-36,-266
2026-04-05 17:35:09.185,373,787,-36,-268
2026-04-05 17:35:09.206,373,778,-36,-268
2026-04-05 17:35:09.224,373,778,-2,-268
2026-04-05 17:35:09.244,382,778,-2,-268
2026-04-05 17:35:09.269,382,843,-2,-267
2026-04-05 17:35:09.289,382,843,-49,-267
2026-04-05 17:35:09.332,327,843,-49,-267
2026-04-05 17:35:09.350,327,754,-49,-267
2026-04-05 17:35:09.368,327,754,-50,-267
2026-04-05 17:35:09.386,288,754,-50,-267
2026-04-05 17:35:09.405,288,818,-50,-266
2026-04-05 17:35:09.426,288,818,-50,-266
2026-04-05 17:35:09.444,288,818,-54,-266
2026-04-05 17:35:09.462,367,818,-54,-266
2026-04-05 17:35:09.480,367,745,-54,-266
2026-04-05 17:35:09.498,367,745,-54,-266
2026-04-05 17:35:09.522,273,745,-39,-266
2026-04-05 17:35:09.540,273,745,-39,-266
2026-04-05 17:35:09.558,273,742,-39,-266
2026-04-05 17:35:09.577,273,742,-66,-266
2026-04-05 17:35:09.596,354,742,-66,-266
2026-04-05 17:35:09.622,354,811,-66,-266
2026-04-05 17:35:09.646,354,811,-71,-266
2026-04-05 17:35:09.664,387,811,-71,-266
2026-04-05 17:35:09.676,387,811,-71,-266
2026-04-05 17:35:09.688,387,811,-71,-266
2026-04-05 17:35:09.711,387,779,-71,-266
2026-04-05 17:35:09.723,387,779,-40,-266
2026-04-05 17:35:09.737,326,779,-40,-266
