idx,t_s,t_ms,t_wall,value_raw,read_ok,ads_error
0,1.271985,1272,2026-02-06T14:52:17.484,-327,1,
1,1.390865,1391,2026-02-06T14:52:17.603,-321,1,
2,1.477965,1478,2026-02-06T14:52:17.690,-322,1,
3,1.562622,1563,2026-02-06T14:52:17.774,-322,1,
4,1.646830,1647,2026-02-06T14:52:17.859,-324,1,
5,1.744337,1744,2026-02-06T14:52:17.956,-324,1,
6,1.839003,1839,2026-02-06T14:52:18.051,-324,1,
7,1.922942,1923,2026-02-06T14:52:18.135,-325,1,
8,2.011772,2012,2026-02-06T14:52:18.224,-323,1,
9,2.097274,2097,2026-02-06T14:52:18.309,-325,1,
10,2.196929,2197,2026-02-06T14:52:18.409,-325,1,
11,2.287628,2288,2026-02-06T14:52:18.499,-324,1,
12,2.373153,2373,2026-02-06T14:52:18.585,-325,1,
13,2.751740,2752,2026-02-06T14:52:18.964,-325,1,
14,2.837863,2838,2026-02-06T14:52:19.050,-326,1,
15,2.923186,2923,2026-02-06T14:52:19.135,-325,1,
16,3.006569,3007,2026-02-06T14:52:19.218,-325,1,
17,3.092256,3092,2026-02-06T14:52:19.304,-326,1,
18,3.174137,3174,2026-02-06T14:52:19.386,-327,1,
19,3.259292,3259,2026-02-06T14:52:19.471,-324,1,
20,3.336906,3337,2026-02-06T14:52:19.548,-324,1,
21,3.412424,3412,2026-02-06T14:52:19.625,-836,1,
22,3.490871,3491,2026-02-06T14:52:19.702,-303,1,
23,3.570900,3571,2026-02-06T14:52:19.783,-331,1,
24,3.646479,3646,2026-02-06T14:52:19.859,-341,1,
25,3.725139,3725,2026-02-06T14:52:19.937,-339,1,
26,3.807995,3808,2026-02-06T14:52:20.020,-340,1,
27,3.881055,3881,2026-02-06T14:52:20.093,-342,1,
28,3.956813,3957,2026-02-06T14:52:20.169,-341,1,
29,4.041399,4041,2026-02-06T14:52:20.254,-343,1,
30,4.120546,4121,2026-02-06T14:52:20.332,-342,1,
31,4.199899,4200,2026-02-06T14:52:20.412,-342,1,
32,4.279620,4280,2026-02-06T14:52:20.492,-342,1,
33,4.357102,4357,2026-02-06T14:52:20.569,-343,1,
34,4.435629,4436,2026-02-06T14:52:20.647,-342,1,
35,4.510576,4511,2026-02-06T14:52:20.722,-340,1,
36,4.584469,4584,2026-02-06T14:52:20.796,-344,1,
37,4.660549,4661,2026-02-06T14:52:20.873,-344,1,
38,4.738095,4738,2026-02-06T14:52:20.950,-343,1,
39,4.817926,4818,2026-02-06T14:52:21.030,-342,1,
40,4.891173,4891,2026-02-06T14:52:21.103,-344,1,
41,4.966545,4967,2026-02-06T14:52:21.179,-342,1,
42,5.039612,5040,2026-02-06T14:52:21.251,-345,1,
43,5.117941,5118,2026-02-06T14:52:21.330,-343,1,
